"rcp_sno","ckg_nm","inq_cnt","rcmm_cnt","srap_cnt","ckg_mth_acto_nm","ckg_sta_acto_nm","ckg_knd_acto_nm","ckg_mtrl_acto_nm","ckg_mtrl_cn","ckg_inbun_nm","ckg_dodf_nm","ckg_time_nm"
6842271,상하이파스타,60979,"52","3694",볶음,일상,면/만두,해물류,[재료] 스파게티면 1인분| 소금 1 큰술| 대파 1줌| 마늘 5톨| 청양고추 1개| 청경채 약간| 간장 2 큰술| 고춧가루 2~3 큰술| 버섯 양파 등 채소(대체가능) 1줌| 새우 1줌| 홍합 등 해물(대체가능) 1줌| 시판용 토마토소스 3 큰술| 면수 6국자| 물 1/2컵,"1인분",초급,"15분이내"
6842294,새조개샤브샤브,76113,"13","234",끓이기,일상,국/탕,해물류,[재료] 새조개 500g| 가리비 10개| 바지락 1줌| 쭈꾸미 4마리| 배추 5~6장| 시금치 200g| 대파 1뿌리| 홍고추 2개| 단호박 약간| 라면or칼국수 1봉지 [육수양념] 물 5~6머그컵| 소고기맛 감미료 1큰술| 국간장 3큰술,"4인분",아무나,"30분이내"
6842295,어묵우동,55313,"21","1803",끓이기,일상,면/만두,밀가루,[재료] 어묵 1봉| 파 약간| 표고버섯 1개| 맛살 1개 [양념] 쯔유 6큰술| 소금 약간| 물 3컵,"1인분",아무나,"15분이내"
6842349,찜닭,67282,"151","2447",찜,초스피드,메인반찬,닭고기,[재료] 닭 1마리| 감자| 당근| 양파| 당면| 후추 약간| 소주 약간 [양념] 간장 1컵| 물 1컵| 설탕 1/2컵| 소주 1/2컵| 다진마늘 1큰술| 다진파 1줌| 청양고추 2~3개| 참기름 약간,"4인분",아무나,"30분이내"
6842402,갈치조림,62419,"55","1359",조림,일상,메인반찬,해물류,[재료] 갈치 4토막| 무 1/3개| 양파 1/2개| 대파 1/2대| 청양고추 1~2개| 감자 1개| 물3컵| 다시마1장 [양념] 간장 4큰술| 고춧가루 3큰술| 고추장 1큰술| 매실액 1큰술| 설탕 1큰술| 맛술 1큰술| 소주 1큰술| 생강가루 1작은술| 후춧가루 조금| 마지막에 참기름 1큰술,"2인분",아무나,"60분이내"
6842409,고등어김치찜,150424,"62","4344",찜,일상,메인반찬,해물류,[재료] 고등어 2마리| 김치 5쪽| 대파 1/5대 [양념] 고춧장 3T| 고춧가루 2T| 간장 1T| 다진마늘 1T| 청양고추 1개| 매실청 1T| 미림 1T| 설탕 1t| 통깨 약간,"4인분",초급,"30분이내"
6842424,라뽁이,59428,"13","333",끓이기,간식,밥/죽/떡,밀가루,[재료] 떡볶이떡 1컵| 라면 1/2개| 어묵 2장| 삶은 달걀 2개| 대파 1/2줄기| 물 3컵 [양념] 고추가루 1컵| 고추장 2/3컵| 설탕 2/3컵| 간장 1/2컵| 물 1컵| 다진 마늘 2큰술,"2인분",초급,"30분이내"
6842456,갈릭닭가슴살버섯볶음,144213,"157","12041",볶음,영양식,메인반찬,닭고기,[재료] 닭가슴살 300g| 새송이버섯 2개| 올리브유 3T [양념] 간장 2T| 물엿 1.5T| 다진마늘 2T| 설탕 1T| 바질 0.5T,"2인분",초급,"30분이내"
6842543,초코마카롱,55851,"38","659",굽기,간식,과자,달걀/유제품,[재료] 계란흰자 65g| 설탕 20g| 슈가파우더 105g| 아몬드가루 65g| 코코아가루 5g [가나슈 필링] 다크초콜릿 100g| 생크림 70g| 버터 10g| 럼 약간| 물엿 10g,"2인분",초급,"60분이내"
6842555,나박물김치,65283,"26","811",절임,일상,김치/젓갈/장류,채소류,[재료] 큰 포기배추 1포기| 무 작은거 1개| 천일염 1+1/2컵| 물 3컵| 천일염 1큰술| 양파 1개| 배 1개| 찹쌀가루 6큰술| 물 6리터| 새우젓 6큰술| 다진마늘 5큰술| 생강 1/2큰술| 쪽파 2줌| 홍고추 3개,"6인분이상",중급,"2시간이상"
6842557,계란국,55634,"28","267",끓이기,일상,국/탕,달걀/유제품,[재료] 계란| 당근| 양파| 파 [양념] 육수| 구운멸치가루| 다시마가루| 국간장 1큰술,"2인분",아무나,"10분이내"
6842570,치즈오븐스파게티,61278,"31","1952",볶음,초스피드,면/만두,달걀/유제품,[재료] 스파게티면 2인분| 양파| 호박| 당근| 버섯| 베이컨| 옥수수통조림 [양념] 토마토소스| 피자치즈가루,"2인분",아무나,"30분이내"
6842580,우럭매운탕,148768,"31","4758",끓이기,일상,국/탕,해물류,[재료] 우럭(생물) 1마리| 무(나박썬 것) 1+1/2줌| 건다시마 (3cmX4 cm) 4장| 호박(반달썬 것) 1줌| 콩나물 2줌| 양파 1/2개| 두부(사각모양 썬것) 6조각| 쑥갓 1줌| 풋고추 1개| 홍고추 1/2개| 대파 1/2대| 육수용 생수 1L [양념] 고춧가루 2큰술| 국간장 1큰술| 다진마늘 1+1/2큰술| 청주 2큰술| 고추장 1/2큰술| 된장 1/4큰술| 소금 1/4큰술| 후춧가루,"4인분",고급,"60분이내"
6842652,스팸주먹밥,62427,"168","1713",기타,도시락,밥/죽/떡,가공식품류,[재료] 밥 1 공기| 스팸 2조각| 달걀 2개| 김밥용 김 1장 [양념] 참기름 조금| 통깨 조금| 소금 조금,"1인분",아무나,"15분이내"
6842697,동그랑땡,90223,"17","186",부침,일상,밑반찬,육류,[재료] 돼지고기| 두부| 당근| 쪽파 [양념] 생강| 마늘| 후추| 소긍,"2인분",중급,"60분이내"
6842700,만두보관,138669,"50","1966",기타,명절,기타,돼지고기,[재료] 만두피 50~60장| 돼지고기다짐육 500g| 숙주나물 1봉지| 당면 1줌| 두부 1모| 부추 1줌| 다진마늘 2아빠숟가락| 신김치 1/6포기 [양념] 국간장 1아빠숟가락| 맛소금 1/2 아빠숟가락| 후추 약간,"6인분이상",아무나,"60분이내"
6842706,알배추겉절이,161032,"66","7776",무침,초스피드,김치/젓갈/장류,채소류,[재료] 알배추 1/2개| 부추 조금| 고춧가루 조금| 깨 조금 [양념장 ] 고춧가루 4스푼| 설탕 1/2스푼| 소금 1/3스푼| 멸치액젓 2스푼| 마늘 1스푼| 참기름 1스푼| 잘게 썬 파 2~3스푼| 식초(생략가능) 2~3방울| 대추청(잼 형태의 대추차) 1스푼| [대추청대신사용가능재료]| 매실액 1스푼,"2인분",아무나,"15분이내"
6842725,떡국,303220,"50","1026",끓이기,명절,국/탕,쌀,[재료] 떡국떡 400g| 소고기 100g| 물 10컵| 계란 2알 지단용 2알| 대파 1줌| 김가루 조금 [양념] 다진마늘 1스푼| 국간장 2스푼| 참기름 1스푼| 식용유 1스푼| 후추 톡톡톡,"4인분",아무나,"60분이내"
6842753,버터간장계란밥,74684,"22","954",비빔,일상,밥/죽/떡,달걀/유제품,[재료] 밥| 계란후라이 [양념] 버터| 맛간장| 참기름| 참깨,"1인분",아무나,"5분이내"
6842780,스팸튀김,62866,"107","1829",튀김,술안주,메인반찬,가공식품류,[재료] 스팸 200g(1캔)| 계란 2알| 튀김가루| 빵가루| 식용유 적당량,"2인분",아무나,"15분이내"
6842962,낙지연포탕,82834,"18","795",끓이기,영양식,국/탕,해물류,[재료] 낙지 4마리| 다시멸치육수| 무| 배추| 표고버섯| 쑥갓| 팽이버섯| 바지락 1봉지,"2인분",아무나,"60분이내"
6842963,무생채,152419,"19","6911",무침,일상,밑반찬,채소류,[재료] 무 1.2kg| 대파 2대(2뿌리) [양념] 고추가루 6T| 설탕 3T| 액젓 5T| 소금 1T| 다진마늘 3T,"6인분이상",아무나,"30분이내"
6842991,고추장참치볶음밥,189884,"236","12826",볶음,초스피드,밥/죽/떡,쌀,[재료] 달걀 1개| 다진파 4T| 다진마늘 1/2T| 참치캔 100ml| 간장 1/2T| 고추장 듬뿍 1T| 참기름 1T| 찬밥 1인분| 김가루 조금| 깨,"1인분",아무나,"10분이내"
6842996,닭가슴살볶음밥그라탕,65627,"29","4431",볶음,일상,양식,닭고기,[재료] 닭가슴살 100g| 양파| 새송이버섯| 파프리카| 밥| 버터 조금| 피자치즈 [양념] 토마토 스파게티 소스 3숟가락| 우스터소스 1숟가락| 소금| 후추,"1인분",초급,"15분이내"
6843005,알리오올리오베이컨파스타,89626,"48","3793",볶음,일상,면/만두,가공식품류,[재료] 파스타면 200g| 마늘 6개| 베이컨 50g| 레드페퍼 1t| 올리브오일 2T| 소금 약간| 파마산치즈가루 0.5T| 파슬리가루 약간,"2인분",초급,"15분이내"
6843071,돼지고기김치찜,150624,"86","5717",찜,일상,메인반찬,돼지고기,[재료] 돼지목살 1/2근| 묵은지 1/2포기| 파 1/2뿌리| 다진마늘 1수저| 멸치 5~6마리| 설탕 1큰술| 식용유 2큰술| 쌀뜬물 500미리,"2인분",초급,"60분이내"
6843089,차돌박이숙주볶음,60694,"15","182",볶음,일상,메인반찬,소고기,[재료] 차돌박이 200g| 숙주 250g| 꽈리고추 5개| 양파 1/2개| 통마늘 10개 [양념] 굴소스 1큰술| 올리브유 1큰술| 맛술 1큰술| 통깨 조금| 후추 톡톡,"2인분",초급,"10분이내"
6843103,마늘볶음밥,71836,"572","2103",볶음,일상,밥/죽/떡,쌀,[재료] 다진마늘| 스팸| 마늘쫑| 파프리카| 만능간장| 식용유| 통깨| 밥,"1인분",아무나,"10분이내"
6843122,스팸하트김밥,58714,"171","2391",기타,도시락,밥/죽/떡,가공식품류,[재료] 스팸| 밥| 김,"2인분",아무나,"15분이내"
6843136,떡베이컨간장조림,114120,"137","10578",조림,초스피드,밑반찬,가공식품류,[재료] 베이컨| 대파| 떡 [양념] 간장| 참기름| 물엿| 기름,"3인분",아무나,"5분이내"
6843138,부대찌개,81037,"34","524",끓이기,일상,찌개,가공식품류,[재료] 스팸 or 런천미트 1캔| 마늘맛햄 1조각| 수제프랑크햄 4개| 어묵 2장| 두부 1/2모| 김치 2장| 팽이버섯 약간| 라면사리 1개| 냉동만두 적당히| 대파 1/3뿌리 [양념] 시판부대찌개양념 140g 한봉지| 물 재료가잠길만큼,"4인분",아무나,"30분이내"
6843140,비트피클,76681,"22","563",절임,일상,밑반찬,채소류,[재료] ?오이 3개| 무 1/2개| 양파 1.5개| 비트 1.2개| 물 5컵| 식초 2.5컵| 설탕 2.5컵| 소금 1TS| 피클링 스파클링 1TS,"6인분이상",아무나,"30분이내"
6843217,굴국,100715,"44","789",끓이기,일상,국/탕,해물류,[재료] 생굴| 무| 청양고추| 애호박| 부추 [양념] 새우젓| 집간장| 간마늘| 식초,"2인분",초급,"15분이내"
6843230,물미역무침,67729,"9","462",무침,일상,밑반찬,해물류,[재료] 물미역| 멸치액젓| 다진마늘| 파| 깨소금| 참기름,"4인분",아무나,"5분이내"
6843277,전자렌지계란찜,58080,"108","1451",찜,초스피드,메인반찬,달걀/유제품,[재료] 계란 2개 [양념] 새우젓 1T스푼| 파 1/3정도| 고추가루 약간| 물 1소주컵| 우유 1소주컵| 통깨 약간,"2인분",아무나,"5분이내"
6843292,토스트,59188,"30","1250",굽기,간식,빵,밀가루,[재료] 식빵| 달걀 3개| 양배추| 크래미| 브로콜리| 당근| 양파| 소금,"2인분",초급,"10분이내"
6843324,우엉채조림,218716,"49","9089",조림,일상,밑반찬,채소류,[재료] 우엉 3뿌리 [양념] 물 2컵| 진간장 1/3컵| 올리고당 2스푼| 설탕 1스푼| 다진마늘 1/2스푼| 올리고당 1스푼(마지막에 추가),"4인분",아무나,"60분이내"
6843348,돼지고기마늘조림,211840,"76","17698",조림,일상,메인반찬,돼지고기,[재료] 돼지고기앞다리살 400g| 마늘 1줌| 청주 1T| 생강가루 1/2t| 허브소금 1/2T| 깨 약간 [양념] 간장 3T| 설탕 1T| 올리고당 2T| 다진마늘 1/2T| 굴소스 1T| 맛술 2T| 참기름 1T| 물 1/4컵,"2인분",아무나,"30분이내"
6843351,간장비빔국수,168470,"87","2377",비빔,초스피드,면/만두,밀가루,[주재료] 소면 1인분(500원짜리 동전크기) [양념] 간장 2T| 설탕 1/2T| 다진 마늘 1/2T| 고춧가루 1/2T(생략 가능)| 참기름 1/2T| 깨 조금,"1인분",아무나,"10분이내"
6843373,소고기무국,336936,"38","675",끓이기,일상,국/탕,소고기,[재료] 소고기 불고기용 200g| 무 2~3줌| 대파| 물 [양념] 참기름 3스푼| 국간장 2스푼| 다진마늘 1스푼| 설탕 1/3스푼| 소금| 후추,"2인분",초급,"30분이내"
6843374,스파게티,66912,"26","2030",볶음,일상,면/만두,가공식품류,[재료] 토마토(큰것) 2개| 양파 1/4개| 다진마늘 2숟갈 [양념] 올리브유 조금| 케찹(색깔내기용도) 조금| 소금 조금| 설탕 아주조금| 파슬리가루 조금,"2인분",아무나,"30분이내"
6843418,김밥,296111,"77","7904",기타,도시락,밥/죽/떡,쌀,[재료(8줄분량)] 밥| 김밥용 김 12장| 햄 8개| 단무지 8개| 오이 1+1/2개| 당근 1개| 어묵 2장| 계란 3개| 맛살 4개(생략가능) [밑간양념] 참기름| 소금| 간장| 맛술| 물엿,"4인분",초급,"90분이내"
6843468,찹쌀탕수육,56457,"15","468",튀김,간식,메인반찬,돼지고기,[탕수육튀김재료] 찹쌀가루 1컵| 감자전분 2컵| 탕수육용 돼지고기 700g| 계란흰자 2개| 생수 5컵| 식용유 [탕수육소스양념] 버섯| 파프리카| 목이버섯| 파인애플| 당근| 양배추| 사과| 양파| 간장| 식초| 설탕| 전분가루,"6인분이상",초급,"60분이내"
6843483,대패삼겹살두부김치,340834,"129","24929",볶음,손님접대,메인반찬,돼지고기,[재료] 대패삼겹살 300G| 김치 1/8폭| 양파 1개| 두부 1모| 다진마늘 1아빠숟가락| 소면 1줌 [양념] 고추장 1아빠숟가락| 고춧가루 1아빠숟가락| 진간장 1아빠숟가락| 설탕 2아빠숟가락| 생강가루 1티스푼| 올리고당 1아빠숟가락,"4인분",아무나,"30분이내"
6843528,수육,65927,"40","1439",삶기,손님접대,메인반찬,돼지고기,[재료] 삼겹살(수육용)| 통마늘| 월계수잎| 양파| 대파| 소주| 된장,"6인분이상",초급,"60분이내"
6843538,돼지고기간장불고기,103205,"56","2581",볶음,일상,메인반찬,돼지고기,[재료] 돼지고기 (앞다리살 불고기용) 600g| 대파 1대| 양파 1/2개| 미림(청주) 6큰술| 진간장 6큰술| 참기름 3큰술| 백설탕 3큰술| 후추 1작은술| 통깨 1큰술| 다진마늘 1큰술,"3인분",초급,"60분이내"
6843570,치킨마요덮밥,86460,"29","430",기타,일상,밥/죽/떡,닭고기,[재료] 남은치킨| 양파 1개| 계란 2개| 양배추 조금 [재료] 간장 4스푼| 다진마늘 1스푼| 올리고당 3스푼| 물 8스푼| 미림 1스푼,"2인분",아무나,"30분이내"
6843579,고사리볶음,55262,"9","132",볶음,일상,밑반찬,채소류,[재료] 고사리| 들기름 1.5큰술| 다진마늘 1큰술| 국간장 2큰술| 들깨가루 2큰술| 대파 조금,"4인분",초급,"30분이내"
6843651,오삼불고기,68678,"74","2533",볶음,일상,메인반찬,돼지고기,[재료] 오징어 1마리| 대패 삼겹살 300g| 양파 1개| 청양고추 1개 [양념장] 배 1/4개| 다진마늘 1아빠숟가락| 생강가루 1티스푼| 올리고당 2아빠숟가락| 설탕 1아빠숟가락| 고춧가루 2아빠숟가락| 고추장 1아빠숟가락| 진간장 2~3아빠숟가락| 국간장 1아빠숟가락| 후추 1티스푼,"2인분",아무나,"30분이내"
6843725,매운돼지갈비찜,96783,"60","1707",찜,손님접대,메인반찬,돼지고기,[재료] 돼지갈비 1kg| 감자| 당근| 양파| 대파| 청양고추 [양념장] 고추장 3스푼| 고춧가루 4.5스푼| 간장 6스푼| 다진마늘 3스푼| 설탕 1스푼| 굴소스 1.5스푼| 매실액 1스푼| 맛술 2스푼| 후추 톡톡| 양파 1/4개| 청양고추,"4인분",중급,"2시간이상"
6843739,시금치고추장무침,167304,"44","9721",무침,일상,밑반찬,채소류,[재료] 시금치 250g [양념] 고추장 1큰스푼| 들기름 1+1/2스푼| 다진마늘 1/2스푼| 파 1스푼| 소금 약간| 통깨 1/2스푼,"4인분",아무나,"10분이내"
6843760,닭다리간장조림,60372,"27","1066",조림,손님접대,메인반찬,닭고기,[재료] 닭다리 5개| 후추| 청주| 굴소스 1스푼| 마늘 1/2스푼| 맛술 4스푼| 올리고당 2스푼| 설탕 1/2스푼| 참기름 조금| 간장 3스푼,"2인분",초급,"60분이내"
6843767,소고기된장찌개,59817,"26","294",끓이기,일상,찌개,소고기,[재료] 두부 100g| 소고기 70g| 양파 1/2개| 애호박 1/3개| 감자(소) 2개| 파 1/2대| 버섯 1컵 (종이컵계량) [육수] 다시마 2장| 고추장 1t| 된장 1.5T| 다진마늘 1t| 고추가루 1t| 설탕 1t,"3인분",아무나,"30분이내"
6843768,감자수제비,301244,"35","13609",끓이기,일상,면/만두,밀가루,[재료] 감자 2개| 밀가루(중력분) 5큰술| 소금 1꼬집| 애호박 1/3개| 대파 1대| 청양고추 3개| 멸치 10마리| 다시마 2개| 계란 1개 [양념] 다진마늘 2ts| 국간장 1T| 소금 1T,"2인분",아무나,"30분이내"
6843930,딸기생크림케이크,65951,"18","236",굽기,손님접대,빵,밀가루,[제누아즈(스펀지케이크) 재료] 달걀 3개| 설탕 90g| 박력분 90g| 버터 25g [케이크 데코 재료(생크림&딸기)] 생크림 200ml| 우유 20ml| 설탕 30g| 딸기 적당히,"4인분",중급,"60분이내"
6843948,카스테라,106516,"62","1276",굽기,간식,빵,밀가루,[재료] 달걀(왕란) 5개| 설탕 150g| 소금 1g| 우유 30g| 꿀 50g| 오일 30g| 박력분 130g| 베이킹 파우더 1g| 바닐라 오일 5방울,"6인분이상",중급,"90분이내"
6843951,골뱅이무침,130770,"24","382",무침,술안주,메인반찬,해물류,[재료] 골뱅이 1캔| 파 1대| 양파 1개| 오이 1/2개| 청양고추 2개| 깻잎 6장 [양념장] 골뱅이통조림국물 3수저| 설탕 4수저| 고추가루 2수저| 진간장 1수저| 고추장 1.5수저| 식초 1.5수저| 깨,"4인분",아무나,"15분이내"
6843954,닭볶음탕,467821,"420","3656",끓이기,일상,국/탕,닭고기,[재료] 닭(볶음탕용) 1마리| 감자 2개| 양파 1개| 대파 1줌| 다시마물 600ml [양념] 고추장 4T| 간마늘 1T| 간양파 3T| 고춧가루 2T| 물엿6T| 간장 9T| 청주 1T| 후추 약간,"3인분",아무나,"60분이내"
6843961,애호박버섯볶음,107697,"47","5382",볶음,일상,밑반찬,채소류,[재료] 애호박 1/2개| 양파 1/2개| 느타리버섯 1줌| 식용유 [양념] 들기름 1/2큰술| 다진마늘 1큰술| 간장 1큰술| 소금 약간| 참깨,"2인분",아무나,"10분이내"
6843983,햄감자채볶음,174446,"85","7956",볶음,일상,밑반찬,채소류,[재료] 감자 3개| 스팸 200g| 당근 1/2개| 양파 1개 [재료] 소금| 후추| 식용유| 통깨,"3인분",아무나,"30분이내"
6843992,마카로니샐러드,55263,"19","739",끓이기,일상,샐러드,가공식품류,[재료] 마카로니| 당근| 오이| 햄| 옥수수| 소금| 마요네즈| 설탕| 후추,"6인분이상",아무나,"30분이내"
6844310,떡꼬치,168138,"474","10306",굽기,간식,밥/죽/떡,쌀,[재료] 떡볶이떡 [양념] 고추장 1T| 설탕 1/2T| 다진마늘 1/2T| 진간장 1/2T| 올리고당 2T| 케찹 3T| 통깨 팍팍,"2인분",아무나,"10분이내"
6844048,사과잼,71178,"24","162",조림,간식,양념/소스/잼,과일류,[재료] 사과 4개| 설탕| 계피가루| 레몬즙,"4인분",아무나,"30분이내"
6844064,돼지고기김치찜,111499,"29","551",찜,일상,메인반찬,돼지고기,[재료] 김치 1/2포기| 등갈비 2대| 육수 맥주컵 5컵| 청주 1/2컵| 파 [육수] 물 7맥주컵| 멸치| 파| 다시마| 북어 [양념] 멸치액젓 3큰술| 고춧가루 3~4큰술| 간마늘 1~1.5큰술| 물엿 2큰술| 설탕 1/2큰술| 맛술 1큰술| 후추,"3인분",아무나,"90분이내"
6844127,달래양념장,76889,"44","2737",기타,일상,양념/소스/잼,채소류,[재료] 달래 1줌 [양념] 간장 5~6T| 다진마늘 1T| 매실액 2T| 고춧가루 2T| 참기름 1T| 통깨 1.5T,"6인분이상",아무나,"5분이내"
6844166,깻잎절임,57682,"26","1252",절임,일상,밑반찬,채소류,[재료] 깻잎 약 40장 내외| 당근 약간| 양파 약간| 다진 파 1큰술| 청양고추 1개 [양념] 간장 2큰술| 멸치액젓 2큰술| 설탕 1/2큰술| 물 2큰술| 마늘 1/2큰술| 고춧가루 1큰술,"6인분이상",아무나,"15분이내"
