genres,release_date,rating,publisher,metascore,developer,title,userscore,summary
Action|Shooter|Shoot-'Em-Up|Top-Down|,"Jul 12, 2016",E10+,Activision,32,Activision,Ghostbusters,3.8,"I'm so glad I found Ghostbusters.  I used the money I got from refunding another game that was just released (really lucky there), even if it was out of spite, I just wanted to give that money to someone else that was undeserving of it but somehow, still more deserving than the first.  The first thing that got me about Ghostbusters was the quality of the CGI introduction, the animation of the characters and that even in 30 FPS it runs far smoother than I expected.  Some other developers should really take note that even in 2016, newer games than this could learn something!"
Role-Playing|Action RPG|,"Mar  6, 2019",M,Merge Games,30,Ian Atherton,Crimson Keep,tbd,"Released to mixed reviews, largely complaining about difficulty and true rogue like experience. This is a major attraction to the game for me, along with the reasonable price."
Miscellaneous|General|,"Apr 14, 2016",E,Snowrunner Games,30,Snowrunner Games,Soda Drinker Pro,6.3,"<span class=""blurb blurb_collapsed"">Soda Drinker Pro mixes the accuracy of Microsoft Flight Simulator with the soda of soda, leaving the player no longer thirsty and trapped in a beautiful world where they can experience every aspect of soda.<br/> <br/>Tightly engineered controls allow the player to decide when to bring the soda cup</span>"
Adventure|3D|First-Person|,"Oct 15, 2020",M,Klabater,30,Punk Punch Games,This is the Zodiac Speaking,tbd,"This Is The Zodiac Speaking is a First Person Horror Detective Game. At least that's the best way I can describe it. You play as a Journalist, that receives a call from The Zodiac Killer making him part of that world. Through a series of ""Living Dream"" therapy sessions you unravel the story. You can play the game in two modes, Serial Killer mode, or Story Mode. Serial Killer mode sounded like the most fun so I went with it first. Don't. Both modes play exactly the same with one difference, in Serial Killer you are hunted by the Zodiac Killer in your dreams. Again, it sounds fun, but it more like annoying. The Zodiacs AI its too sensitive, and can sometimes get you, when it hasn't. When you are captured, you're killed and you respawn. You lose nothing but time, hiding or dying. It felt like he was around too frequently to feel like I had time to do anything.The controls have no dead-zone, leading to drifting and jerky turning, making pointing at small clues a nightmare. I feel like the combination of having the killer and the touchy controls make the game drag on. Story mode allows you the time and lenience to work with the over-sensitivity.  The concept is great, but it doesn't come together well. If you like a decent sleuth game, play this one in story mode."
Racing|Arcade|Automobile|,"Oct 16, 2015",E,EnjoyUp Games,29,EnjoyUp Games,Rock 'N Racing Off Road DX,1.5,"<span class=""blurb blurb_collapsed"">Get ready to enjoy Off Road races with your friends and family!<br/> <br/>Rock'N Racing Off Road DX offers the most entertaining and exciting races, with loads of skids, crashes and amazing jumps. You will have several modes of play, such as Cup mode, time trial and multi-player with the option of</span>"
Simulation|General|,"May  1, 2020",E10+,Ultimate Games,25,Ultimate Games,Robot Squad Simulator X,tbd,"Deal with the hardest missions which can't be performed directly by people due to the conditions. Human life and safety is in your hands! Game features: - 4 different robots: 2 terrestrial, aerial and underwater - 6 training missions - 16 story missions which take place all over the world, in different settings - 10 different accessories mounted on robots - plenty of gameplay elements like: guards, explosives, mechanisms - upgrading parameters of robots and accessories - different types of missions: rescue, spy, exploration, military."
Sports|General|General|,"Nov 19, 2013",T,Ubisoft,23,Ubisoft,Fighter Within,2.8,"Unleash your inner fighter to beat your friends with your bare knuckles. Discover Fighter Within, the next-gen game that provides you with the excitement of a real fight, throwing you into a total-body combat experience. Test your real fighting skills thanks to the next gen of motion recognition. Kinect for Xbox One arms the game with realistic fighting moves using 1:1 precision movement tracking. Enter a brutal, physical, and liberating world: Next-gen graphics, real-time wounds, sweat, and facial impacts in extreme arena environments and primal animations… Kinect allows you to dive into a realistic experience and really feel the fight. Enter a world of sweat, timing, and training."
Alternative|Sports|Team|Rugby|,"Feb 24, 2015",E,Maximum Games,20,HB Studios Multimedia,Rugby 15,2.9,"Oh god, what is this garbage, I've played it on my friends Xbox cause he loves rugby, went I came to his house, he was on his bed crying saying ""this stupid piece of garbage!"" so I've tried the game out, It was utterly horrible not fun to play."
Action Adventure|General|,"Apr 10, 2018",M,Modus Games,52,Iron Galaxy Studios,Extinction,1.9,"Extinction is a game that I’ve been keeping a close eye on over the last few months and it was a game that I was looking forward to because it did have a unique feel to it. Unfortunately though the game has too many problems and whilst it does have quite a few good points as well it never reaches its full potential because certain issues hold it back quite considerably. When it comes to the combat though I think they get this aspect of the game spot on. The enemies that you come across have lots of variety going for them and tackling them can be a huge amount of fun. I think the main reason why tackling enemies was fun is because the combat elements in the game feel like they pack a punch and because of this taking down an enemy can be extremely satisfying. Unfortunately the world in which the combat takes place is a little on the bland side and in my opinion it just doesn’t feel alive and that does make exploring a little boring. Another reason why the world doesn’t come alive is because the missions that are present in the world are very repetetive and they grow stale quite quickly which means tackling them can feel like a chore a lot of the time. Thankfully though the missions do have a decent story that accompany them and this did make me want to carry on with them but it didn’t hide all of the problems. The most annoying problems that persist are the technichal issues the game suffers with and these issues never seem to go away. They try to keep the frustration levels down by offering a decent difficulty curve but you forget about this quite quickly because the technichal side of the game just annoys you and that’s all you remember in the end, which is a shame. The presentation side of the game disappointed me a great deal and to say I wanted more from it would be a massive understatement. The visuals and sound design just lacked the wow factor and everything about this aspect of the game just felt dated, which in turn harmed the immersion levels somewhat. At the end of the day I can see quite a lot of people being quite disappointed with Extinction and I understand why because a game that is priced quite excessively shouldn’t have as many problems as it does. Don’t get me wrong it’s not the worst game I’ve ever played before and it does provide you with some very enjoyable moments at times, but these enjoyable moments are often littered with technichal issues and these issues harm the fun factor quite a lot. Unfortunately I can’t fully recommend Extinction to you at this time and I would definitely recommend that you wait until it lowers in price before getting it."
Action|Platformer|3D|,"Nov 28, 2019",E10+,Microids,52,Anuman Interactive,Asterix & Obelix XXL 3: The Crystal Menhir,5.4,"The year is 50 B.C. Gaul is entirely occupied by the Romans. Well, not entirely... One small village of indomitable Gauls still holds out against the invaders. And life is not easy for the Roman legionaries who garrison the fortified camps of Totorum, Aquarium, Laudanum and Compendium."
Driving|Racing|Arcade|Automobile|,"Jul 10, 2015",E,Gateway Interactive,52,Gateway Interactive,Spectra: 8bit Racing,6.5,"<span class=""blurb blurb_collapsed"">""Spectra: 8bit Racing, flips the script on what weve come to expect from a music-based game."" - Xbox Wire<br/> <br/>Spectra is a beautiful twitch racing game that will have you on the edge of your seat! Blast your nimble ship down intricate ribbons of light in time to a thumping all</span>"
Racing|Arcade|Automobile|,"Jul  5, 2016",M,Stainless Games,52,Stainless Games,Carmageddon: Max Damage,7.2,"Growing up Carmageddon was one of my favourite game series, I love how they've somewhat gone back to their roots with this. The humour is just as great as the original and is refreshing to see amongst the tripe which is released upon mass at present. All we need now is a decent Duke Nukem games and I'll be a happy clappy chappy."
Action|General|Shooter|Shoot-'Em-Up|Top-Down|,"May 30, 2018",T,Nano Games,52,Nano Games,ZAMB! Redux,tbd,"A mash-up of a twin-stick shooter and a tower defense, it’s up to you and a friend (with couch co-op) as space agents to exterminate hordes of bio mutants created by a mad scientist. Mix and match turrets, powers, and traps to find your preferred style of play, from close combat to long-range destruction. [Xbox.com]"
Action|Platformer|2D|,"Jul 17, 2015",T,tiny Build GAMES,52,tiny Build GAMES,No Time to Explain,5.6,No Time To Explain is a platformer with very unique elements to it such as having a massive beam that allows you to traverse the map or having a giant shotgun blast you around. The game is very fun and is a must have for anyone looking for a little game to have a laugh at since the dialogue can be quite entertaining. I'm also confused at the severe score set by the reviewer since the platforming isn't bad infact it's quite good though there really isn't much platforming at all since most the time you are using a beam or a shotgun. In all watch some videos on it and if you like what you see I'd definitely recommend picking this title up!
Action|Shooter|Rail|Shoot-'Em-Up|Vertical|,"May  1, 2019",E,Sometimes You,52,Sometimes You,Crashbots,tbd,"Take control of the latest line of robots and test their fighting capabilities, agility, and endurance in various arenas filled with dangerous obstacles, booby traps and enemies. In World mode, reach the finish line of each level before your battery runs out. In Endless mode, run as far as you can before your energy runs out."
Action|General|,"Jun 18, 2020",None,tinyBuild,51,Jason Oda,Waking,tbd,"Waking is a 3rd Person Adventure Game. You play as You. You are in a coma and are tasked with traveling through you own mind and piecing yourself back together so you can wake from this coma. The game asks you a few questions about yourself, like your name and size. As the game moves along you are asked slightly deeper questions. The game uses these questions to name NPCs and enemies to tailor the experience to you. This is a novel idea, but dose little more than decorate the surface. There are four areas of your mind you must traverse. Each area felt the same skinned as a different environment. Everything you do costs neurons, and you can gather them from enemies. There is an issue where you wont be able to kill an enemy because you're put of neruons, but you need to kill the enemy to get neurons. The game also randomizes each level so if you die, everythig you learned about the level has to be re-learned. The missions are all the same, causing the game to start to feel stale long before the 20 hours of play the game boasts. The story is engaging for the most part, but becomes lost to the repetitive nature of the gameplay. Visually Waking is lost, the imagery is stunning, but the blurring effect detracts from it. The final stage left me unable to figure out the chain of events I needed to unfold to finish within the five minute constraint your given, not to mention the layout shifts everytime you die. More could have been done to keep this game engaging."
Action|Shooter|Shoot-'Em-Up|Vertical|,"Apr 24, 2019",None,Ratalaika Games,51,Josyan,Zeroptian Invasion,tbd,"Zeroptian Invasion is pure retro nostalgia for me, so the graphics and sound were something that I truly enjoyed. The game is very reminiscent of classics in the vein of Space Invaders which is quite a compliment even in todays gaming world. Ratalaika Games new release Zeroptian Invasion isn’t a copy cat it simply brings the vibe that many fell in love with so long ago to the current gaming generation standards. Enjoying the game is easy to do because the arcade style gameplay is fun and addictive. As many newer generation gamers never experienced the difficulty designed in the arcade ERA to eat their quarters as quickly as possible, the difficulty here is in place and keep a balance without making it feel unfair as many games did from the arcade ERA. There’s a decent variety of enemies and bosses for you to destroy also in game. The overall presentation of the game keeps gameplay as it should be and in line with my expectations. Zeroptian Invasion is a retro feast in which I strongly recommend it for the value price tag and the nostalgia and fun it provides. Retro fans rejoice!"
Role-Playing|Action RPG|,"Sep  7, 2018",T,Sold Out,51,Toadman Interactive,Immortal: Unchained,7.6,"You are a living weapon. Unwillingly unchained by the Warden, the player's skills are put to the test, given only the instruction that they must stop the end of the world. With a story the player must piece together themselves, the central character sets off with no memory of their past."
Action|General|Beat-'Em-Up|3D|,"Dec  2, 2015",M,Activision,51,Torn Banner Studios,Chivalry: Medieval Warfare,4.1,CHIVALRY: Medieval Warfare is a first-person medieval combat game that seeks to deliver the intensity of epic hollywood medieval block busters to the hands of a gamer. CHIVALRY hurls the player into a fictional yet realistic medieval world where the Agathian Knights are battling against the newly formed Mason Order for control of the lands of Agatha.
Action|Action Adventure|General|Open-World|,"Mar 18, 2014",M,Microsoft Game Studios,51,Capcom Vancouver,Dead Rising 3: The Last Agent,4.3,My major problem with all the dead rising games is that they are too hard. Everything in them is there with the souls purpose of pissing the player off. Example! Your weapons will run out and your in the middle of street that is layered with Zombies and I mean caked with the bastards. Thousands of Zombies surround you constantly leaving the player with no breathing room whatsoever. You can't even rescue the survivors because you can't reach them due to the stupid amount of Zombies around them and you. I know games are supposed to challenge us but the designers clearly did not have the player in mind at all. Good story and characters and very well put together graphically though.
Action|Shooter|Light Gun|Rail|,"Feb 18, 2015",M,Focus Home Interactive,51,HeSaw,Blue Estate,7.4,"If you're easily offended - do not play this game. But if you want to play a quick game with a friend and have some fun, I can highly recommend it. Great responsive control, a lot of fun, simple action game for a couple of hours."
Action|Shooter|Light Gun|,"Sep 12, 2018",T,Wales Interactive,51,Wales Interactive,Time Carnage,tbd,The controls feel spot on throughout your time with the game which in turn meant the shooting elements in the game always felt satisfying. There are a decent amount of weapons for you to unlock in the game and the best thing is that each weapon feels completely different from the other. I really enjoyed the tactical elements present in the game because you always get a rewarding feeling when you use the right gun for the right enemy. The presentation side of the game does nothing to hold your attention and both the visuals and sound design are a little on the basic side. If played for long periods you find that the gameplay becomes tedious quite quickly because it lacks in terms of variety. There is not enough variety in the way each enemy behaves and there’s also not enough different enemies for you to face. In terms of content the game doesn’t have a lot for you to get to grips with and it doesn’t do enough to keep drawing you back in. Technically the game suffers with a few issues every now and then. Time Carnage originally started out for VR and you can definitely tell that because it has a few teething problems every now and then. This however isn’t Time Carnage’s biggest problem and instead its main issue is that it gets repetetive very quickly because it suffers with a lack of variety in several areas. This is a shame because at times the game can be quite fun because it’s not just about shooting the wide arrange of weapons that are available to you because it also features a tactical side to it as well. Unfortunately though this isn’t enough to make the game as compelling as it should be and the presentation side of the game plays a big part in this because there just isn’t anything that stands out in both the visuals and sound design. This then means that I can’t give Time Carnage a recommendation really because it just has too many shortcomings that ultimately hold it back and in the process stop the game from reaching its full potential.
Action|General|,"Apr 26, 2016",M,tiny Build GAMES,51,Pinokl Games,Party Hard,6.9,"In Party Hard, you assume the role of someone who is really tired of the neighbors having loud parties. Instead of calling the police, you decide it’s a better idea to kill everyone – using your faithful knife and the environment. The tactical strategy follows a series of killings at parties through-ought the USA."
Action|Action Adventure|General|Horror|Survival|,"Jun  3, 2014",M,Square Enix,51,Airtight Games,Murdered: Soul Suspect,7.1,"Detective Ronan O'Connor's life is brought to an end when a brutal killer confronts him during a burglary. This detective with a checked past now finds himself trapped in the afterlife, his only escape from this nether world of ""Dusk"" is to bring the truth of his death and his killer to light using his newly developed supernatural abilities. As Ronan, you can explore the town of Salem for clues, battle demon spirits to save your soul, and unearth revelations about who is responsible for your untimely death."
Action Adventure|Open-World|,"Mar 26, 2019",T,Avalanche Studios,50,Avalanche Studios,Generation Zero,6.2,"Experience an explosive game of cat and mouse set in a vast open world - rendered with the award-winning Apex game engine. Experience an explosive game of cat and mouse set in a vast open world. In this reimagining of 1980’s Sweden, hostile machines have invaded the serene countryside, and you need to fight back while unraveling the mystery of what is really going on. By utilizing battle-tested guerilla tactics, you’ll be able to lure, cripple, or destroy enemies in intense, creative sandbox skirmishes."
Role-Playing|Action RPG|,"Jun 30, 2017",E10+,Soedesco,50,Triangle Studios,AereA,4.0,"<span class=""blurb blurb_collapsed"">AereA is a music themed Action RPG in which you play as one of Great Maestro Guido's disciples and explore Aezir; a floating island that was broken into pieces. Your mission is to find and return the nine primordial instruments to restore balance and peace to the world.<br/> <br/>You have to find</span>"
Action|Action Adventure|General|Open-World|,"Feb 21, 2014",M,Microsoft Game Studios,50,Capcom Vancouver,Dead Rising 3: Chaos Rising,3.4,"This new Dead Rising 3 downloadable episode puts you in control of renegade biker, Hunter Thibodeux, who must escape from prison, seek revenge and fight for control of his gang. This new side story features a new mission, zombie-slaying weapons, over-the-top vehicles and more – all of which carry back to the main game. [Xbox.com]"
Action|General|,"May  8, 2014",E,NinjaBee,50,NinjaBee,Nutjitsu,4.4,Become the squirrel. The kitsune have taken the sacred relics of your clan. Vengeance will be yours! Sneak through beautifully hand-painted levels as you retrieve the stolen artifacts from the villainous samurai. Steal back precious acorns as you dodge an ever-increasing number of vigilant foxes. Snatch victory with your tiny paw!
Puzzle|Action|General|,"Apr 19, 2016",E,Mighty Studios LLC,50,Mighty Studios LLC,Skyling: Garden Defense,tbd,"In Skyling: Garden Defense, players help a young girl named Bloom restore the elevated gardens of Skyling back into a lush utopia. Adorable blight monsters have ruined the land, and it’s up to Bloom to touch every square of the garden mazes and bring them back to life. Be careful, the monsters are still roaming around waiting to snatch young Bloom. Players must use their wits and utilize switches, gates and elevators to avoid capture. Sleepy garden cats also call these gardens home. Cats can be picked up and moved to hold down switches or block a monsters path. They don’t mind, they’ll sleep anywhere."
Sports|Individual|Tennis|,"Apr  5, 2019",E10+,Kaneda Games,50,Kaneda Games,Smoots World Cup Tennis,tbd,"Create your very own Smoot with its own style and fashion accessories and dominate the tennis court in Smoots World Cup Tennis. Compete in more than 60 tournaments to make it to number one in the World Circuit, while improving your skills, unlocking mini games, and playing locally or online with up to four friends."
Role-Playing|Japanese-Style|,"Feb 24, 2017",E10+,Headup Games,49,Headup Games,Trulon: The Shadow Engine,tbd,"<span class=""blurb blurb_collapsed"">Enter a world of steampunk and magic by experiencing the debut title of the Trulon series. The adventure RPG is based on a new novel from Jak Koke, an award-winning author who is known from the best-selling Shadowrun trilogy, The Dragon Heart Saga.<br/><br/>Featuring a unique card combat system that</span>"
Adventure|3D|First-Person|,"Oct 13, 2020",M,Modus Games,49,Stormind Games,Remothered: Broken Porcelain,7.8,"I LOVED this game!! I was already a fan of the saga, so I obviously bought it as soon as it was out... And yes, it didn't start the best way"
Action Adventure|Racing|Simulation|Arcade|Linear|Automobile|,"Aug  3, 2020",None,Bandai Namco Games,49,Slightly Mad Studios,Fast & Furious Crossroads,3.0,"FAST & FURIOUS CROSSROADS: The story involves a secret, historic underground criminal organization of highway thieves that clashes with the"
Sports|Individual|Athletics|,"Dec 18, 2018",T,PQube,49,Onion Soup,Nippon Marathon,4.8,"Stretch your muscles and head out on the ultimate marathon of Japan in a silly party racer! Hurdle barrels, outrun Shiba Inu, and dive out of the paths of bicycles, all while throwing fruit at your opponents and dashing across planks precariously balanced over waterfalls in an unreal marathon across the whole of Japan."
Modern|Action|Shooter|First-Person|Arcade|,"May 17, 2016",M,Deep Silver,49,Deep Silver Dambuster Studios,Homefront: The Revolution,4.7,"Coming to Xbox One, the all-in-one games and entertainment system from Microsoft, PlayStation 4, PC, Mac and Linux in 2015, Homefront: The Revolution throws players into a near future dystopia. Catastrophic events have brought the United States to its knees and enabled the Korean People's Army forces to impose a brutal military occupation. Trapped in this American nightmare, Philadelphia has become a police state, where surveillance drones and armored patrols keep her once-proud citizens at heel, crushing any dissent with totalitarian force."
Action|Arcade|,"Mar 24, 2017",E10+,GameTrust,49,Ready at Dawn,De-formers,tbd,"Our game sucks!!! What is the point of making a game with online features when nobody is playing the game?!? This game was a major disappointment even after it had so much potential. Okay, so it's cute but boring."
Role-Playing|Action RPG|,"Apr 27, 2018",T,Codestalkers,49,Codestalkers,Korgan,7.4,"<span class=""blurb blurb_collapsed"">Korgan it's a little piece of digital fun. Easy to play and easy to navigate.<br/>It feels like a dungeon-crawler rpg arcade game than anything</span>"
Role-Playing|Western-Style|,"Nov 14, 2018",M,Bethesda Softworks,49,Bethesda Game Studios,Fallout 76,3.3,"Fallout 76 is the online prequel where every surviving human is a real person. Work together – or not – to survive. Under the threat of nuclear annihilation, you’ll experience the largest, most dynamic world ever created in the legendary Fallout universe. Reclamation Day, 2102. 25 years"
Action|General|Shooter|Shoot-'Em-Up|Top-Down|,"Mar 13, 2015",M,Team17,49,Modern Dream,LA Cops,6.2,"Really enjoyed playing this challenging, but fun isometric 70s themed shooter.  The dual partner mechanic takes some getting used to, although"
Action Adventure|Open-World|,"Mar 27, 2019",None,Headup Games,49,Magic Sandbox,Windscape,tbd,"Windscape does a great job of easing you into the quest at hand, (almost starts to slow) in the vain of the Zelda franchise. I never found myself getting bored or frustrated and though the action begins slow I found myself engulfed by the game in a matter of an hours time. Windscape features a style of gameplay that will no doubt be noticed by Zelda fans around the world. It is however not the perfect experience as I did find myself stuck in the environment or a little clumsy several times while engaged in battle. I was captivated by the beautiful presentation and the simple yet compelling visual and sound design were near perfect. I truly enjoyed the story and became even more attached to the characters as the story evolved. The gameplay is a typical action adventure game with crafting elements thrown in along the way. The combat is hindered by the lack of feeling ""in control"" of the character and your weapons at all times and that is my only real complaint with the game. The controls were functional but a tightening of the combat elements and removal of a couple times becoming stuck in the environment while exploring I would have ranked the game higher on the point scale. Despite this though I never seemed to get frustrated and the game made me want to keep playing and enter the next chapter of the saga. Windscape isn’t the best action adventure game I’ve ever played, but it’s far from the worst. In my 1st sitting with the game I planned a 2 hour sit down which turned into 6 hours and finished the game in a total of 3 sittings which means I wanted to play it and never felt like a chore as I was always looking forward to what was next and finding the resources to craft my next weapon or armor. I definitely recommend Windscape if you are a fan of the Zelda formula, there's much enjoyment to be had here and my complaints at the end of the day didn't keep me from enjoying the end experience. In the end there's much more right here than wrong, and I recommend you add this one to your gaming library."
Action|General|Shooter|Shoot-'Em-Up|Top-Down|,"Feb 12, 2016",E,Forge Reply,49,Forge Reply,In Space We Brawl: Full Arsenal Edition,tbd,"<span class=""blurb blurb_collapsed"">In Space We Brawl is a frantic couch twin-stick shooter in which you challenge friends in fast-paced space battles for up to 4 players.<br/> <br/>Choose a spaceship and a weapon: there are more than 100 available combinations! Will you humiliate your friends with a fast ship? Or will you choose</span>"
Action|Shooter|Shoot-'Em-Up|Top-Down|,"Jul 27, 2016",T,Krewe Studios,49,Krewe Studios,Action News Heroes,7.1,"A great callback to the 90s quarter munching arcade games that required a good mixture of strategy, memory, luck and caffeine. Not a game for people that expect a leisurely stroll to the market. You will die, a lot, but that's kind of the point. It's kind of like that scene in Kill Bill vol. 2 where the Bride is being trained by Pai Mei and she has to punch a hole in a 4"" thick board. It's not going to be easy, but you will succeed in time. Grind it out soldier!"
Action Adventure|General|Fantasy|Linear|,"Oct 22, 2014",T,Activision,49,PlatinumGames,The Legend of Korra,6.5,"Only one human born every generation, the Avatar, can bend the four elements of nature to their will. The Legend of Korra is a third-person action game that follows the current reincarnation of the Avatar – Korra – a headstrong teenage girl chosen by fate to bring balance to the powers of the world."
