genres,release_date,rating,publisher,metascore,developer,title,userscore,summary
Action Adventure|Sandbox|,"Jun  6, 2019",T,Snail Games,38,Snail Games,PixARK,5.4,"<span class=""blurb blurb_collapsed"">Welcome to PixARK, a vast, wild world filled with vicious dinosaurs, magical creatures and endless adventure! To survive in this mysterious land, you must tame creatures both ferocious and cuddly, craft high tech and magical tools, and build your own base out of cubes.<br/><br/>With a robust</span>"
Simulation|Virtual|Career|,"Jun 20, 2019",T,Merge Games,38,Rebelephant,Mainlining,tbd,"Mainlining is a point and click hacking adventure that mixes dark and dry humour with a gripping narrative that will have you hooked from the very first case. Following the government's introduction of the BLU Pill Act and the Secret Intelligence Service's reintroduction of MI7, all online personal data is accessible by the powers that be. Mainlining questions techno-ethics and whether it is acceptable for an organisation to have the power to look at personal data. What if someone else got the key to that?"
Strategy|Real-Time|General|Tactics|,"Mar 28, 2021",None,Ultimate Games,38,MadGamesmith,Gallic Wars: Battle Simulator,tbd,"Time to conquer ROME! Become a commander of Gallic Warriors and destroy Roman Empire. Gallic Wars is a Roguelike tactical strategy game. Fast gameplay, crazy rag-doll physics and challenging rouge-like approach to strategy. Fight your way through roman legions. DEPLOY your troops, PLAN their"
Action|Platformer|2D|,"Sep 14, 2017",E,Ratalaika Games,37,Ratalaika Games,36 Fragments of Midnight,3.8,"This time Midnight's friends lost of their Star Fragments. Your task is to find them, and take them back, but it won't be easy. In this procedurally generated platform game, you have to avoid deadly lasers, circular saws and spikes to collect all the Fragments, to get their greatest gift. Do"
Action|Fighting|2D|3D|,"Jan 18, 2019",T,Digital Crafter,36,Digital Crafter,Fight of Gods,5.0,"Surprisingly good game, enjoying a lot right now, easy controls and combos, the hate for this game comes only from butthurt christians mad at jesus being represented"
Action Adventure|Survival|,"Nov 13, 2020",None,No Gravity Games,36,MrCiastku,Apparition,tbd,"The game was...okay. I have given it a 7 because I feel like the map isn't big enough, but the rest of the game was pretty good. I enjoyed the fact that you can find papers that have a drawing of the ghost and what to do in case you encounter it. I like using the spirit board a lot, it was a good addition to the game."
Racing|Arcade|Automobile|,"Oct 31, 2017",E,GameMill Entertainment,36,Team6 Game Studios,Monster Jam: Crush It!,5.3,"<span class=""blurb blurb_collapsed"">Take control and experience Monster Jam® like you've never seen.<br/><br/>Crush It! takes fans back into authentic real-life stadiums for racing and freestyle events including the site of Monster Jam World Finals Sam Boyd Stadium. Choose your favorite official Monster Jam trucks such as Grave</span>"
Action Adventure|Survival|,"Feb 22, 2018",M,Forever Entertainment,36,MMEU,Hollow,4.5,"In Hollow, you are one of the pilots that transports precious resource cargo from the mining ship Shakhter-One down to Earth. One day you wake up in an emergency capsule drifting near the facility. You don't remember who you are, or how you got out there… All you can remember is an autopilot docking code for capsule dock NR 6. When you dock with Shakhter-One, it is clear that something has gone horribly wrong. The crew is missing and the entire facility is dealing with catastrophic power issues. As you start to uncover the ship's terrifying secrets, Shakhter-One threatens to take your identity, your sanity, and – ultimately – your life. "
Action|Platformer|3D|,"Mar 26, 2021",E10+,Square Enix,36,Arzest,Balan Wonderworld,4.6,"Balan Wonderworld is a wondrous action-platformer game themed around a mysterious musical theatre. The stars of the show will use special abilities from a multitude of characterful costumes as they adventure in the bizarre and imaginary land of Wonderworld. Here memories and vistas from the real world mix with the things that people hold dear. Twelve different tales await our stars in Wonderworld, each with their own unique quirks. They will explore all corners of these labyrinthine stages, using all the tricks and gimmicks hidden along the way, to get to the heart of each touching story."
Action|Platformer|2D|,"Dec 23, 2019",T,Red Dev Studio,36,Red Dev Studio,Down to Hell,tbd,The player takes on the role of a knight filled with hatred and struggle. During the game the protagonist will have to fight with various demons in order to save the mysterious girl that previously saved him.  During the gameplay the player using both weapons and magic will have to fight various terrifying demons.
Role-Playing|Action RPG|,"Jan 30, 2020",E10+,Idea Factory,36,Compile Heart,Arc of Alchemist,3.3,This should be developed and published around 20+ years ago. Would be a blast in age of Breath of Fire IV and stuff like that.  But hardpass in 2020. There are just sooo many better alternatives.
Sports|Individual|Tennis|,"Jan 27, 2020",E,Ultimate Games,35,Ultimate Games,Super Tennis,tbd,None
Action Adventure|Adventure|Survival|Visual Novel|,"Jan 18, 2021",None,Shinyuden,35,RunicCodes,Red Colony,6.6,"The Red Colony was supposed to save the human race, not end it. . . After a crazy scientist plays God and experiments with the colonists’ DNA, a deadly virus infects them and turns them into blood-thirsty zombies. Maria is trapped in the turmoil and desperately searches for her daughter in this Ecchi inspired Horror Game. However, the secrets she finds in her personal life and the colony means she will have to be the Hero and rid the colony of the wicked virus."
Sports|Individual|Combat|Wrestling|,"Dec  6, 2017",T,2K Games,35,Yuke's,WWE 2K18,1.6,"WWE video games are back on Nintendo platforms with WWE 2K18, available for the first time EVER on Nintendo Switch. Featuring cover Superstar Seth Rollins, WWE 2K18 promises to bring you closer to the ring than ever before with hard-hitting action, stunning graphics, drama, excitement, new game modes, additional match types, deep creation capabilities. A new MyCAREER experience puts you on the path to greatness as you journey along on the road to WrestleMania. Explore WWE through free-roaming backstage, conversing with WWE Superstars, forming alliances, making enemies, seeking out quests, and strategizing for upcoming matches. Road to Glory. Can your MyPlayer make it to the WWE Hall of Fame? Compete with opponents online to improve your MyPlayer by earning unlockables, boosts and upgrades all while securing your entry into special events that are held alongside real-life WWE special events, such as pay-per-views."
Action Adventure|Open-World|,"Jan  3, 2019",E,Atomicom,34,Atomicom,JCB Pioneer: Mars,tbd,None
Strategy|Adventure|General|,"Jul 24, 2020",None,Asterion Games,34,Armatur Games,Mittelborg: City of Mages,tbd,"Mittelborg: City of Mages is a strategic adventure with elements of rogue-like and resource management. You are crowned to be Chancellor of the city, but this power is. Mittelborg is the heart of this world and thousands of swords are aimed at it. Monsters, nomads, mercenaries, living deads and rebellious spirits — Chaos does not sleep and besieges the Universe. Collect resources, get ready for tempests, keep guards on the walls and mages at the towers. While lots of blood are spilt, remember what is at stake. It is better to shed a gallon of blood than lose a single leaf from the Tree of Order."
Role-Playing|Action RPG|,"Jan 25, 2018",E10+,Arc System Works,34,Arc System Works,Fantasy Hero: Unsigned Legacy,3.7,"Save the world in ""Fantasy Hero -Unsigned Legacy-"", by choosing from one of four heroes, and reclaiming what was lost to the Decoders. Set yourself on fire and charge head in, or pulverize them with powerful throws. Like keeping a safe distance from your opponents? Then, pick them off with"
Sports|Team|Soccer|Sim|,"Oct  6, 2020",E,Electronic Arts,33,Electronic Arts,FIFA 21: Legacy Edition,0.3,"On the street and in the stadium, FIFA 21 has more ways to play than ever before.  FIFA 21 rewards you for your creativity and control all over the pitch. Create more scoring opportunities with all-new dynamic attacking systems in the most intelligent FIFA gameplay to date. A new Agile Dribbling system gives you the means to unleash your creativity in 1-on-1 situations. Use fast footwork, more responsive close control, and new skill moves like the ball roll fake to explode past defenders. In FIFA 21, increased positional awareness elevates footballers’ in-game intelligence to put them in the right place at the right time. See world-class forwards hold their runs in line with the last defender, creative playmakers find space to play through balls, and midfielders shut off passing lanes as players better live up to their real-world understanding of space and time on the pitch. [Electronic Arts]"
Miscellaneous|Board / Card Game|,"Mar  1, 2018",E,Poisoft,33,Poisoft,Poisoft Thud Card,tbd,None
Action Adventure|Survival|,"May 24, 2019",T,Ratalaika Games,33,Throw the Warped Code Out,Back in 1995,tbd,"<span class=""blurb blurb_collapsed"">A throwback to the survival horror and mystery games of the mid-90's 32-bit generation, Back in 1995 faithfully re-creates everything from this all-but-forgotten era of games.<br/> <br/>Be transported to a world both concrete and indistinct, where you must uncover the mystery surrounding the</span>"
Action|General|,"Feb 22, 2018",E,Undercoders,31,Undercoders,Superola and the Lost Burgers,3.8,"Superola and The Lost Burgers is an epic retro style platforming adventure, in which you'll have to guide a burger loving llama in its quest to defeat the Hotdog Aliens and recover the stolen hamburgers... before they get cold. Explore 10 worlds with over 70 super challenging stages, follow the storyline, unlock all the map's secrets, fight memorable boss battles, clear the bonus rounds and play against a friend."
Action Adventure|Survival|Sandbox|,"Nov 30, 2018",T,Studio Wildcard,29,Studio Wildcard,ARK: Survival Evolved,2.5,"As a man or woman stranded naked, freezing and starving on the shores of a mysterious island called ARK, you must hunt, harvest resources, craft items, grow crops, research technologies and build shelters to withstand the harsh elements. Use your cunning and resources to kill or tame & breed"
Racing|Arcade|Automobile|,"Jul 31, 2020",E,IceTorch Interactive,29,IceTorch Interactive,Tiny Racer,6.8,"Pick your tiny car, push the gas down and start the great race. Try not to fall on Monkey Bridge. Hold on tight and be careful on the ramps in Forest Jumper. Watch out for sharp turns and be the first in Rock Heaven. Don’t let the messy kitchen beat you in Cooking Madness. Speed through"
Action|Platformer|3D|,"Dec 21, 2017",E,Chubby Pixel,28,Chubby Pixel,Woodle Tree Adventures Deluxe,5.9,"<span class=""blurb blurb_collapsed"">Why do I recommend it?<br/>Well, it's very pleasant. WTA is a fine change of pace from sadistic games like Wings of Vi. You don't have to worry</span>"
Sports|Individual|Tennis|,"Jan 25, 2018",E,D3Publisher,28,D3Publisher,Tennis,4.5,"<span class=""blurb blurb_collapsed"">There is something more beside of cartoon graphics, annoying music and sounds in this game.<br/>And it is a superb fitness training, as the game</span>"
Miscellaneous|Party / Minigame|,"Jul  5, 2018",M,Snap Finger Click Ltd,28,Snap Finger Click Ltd,Awkward,tbd,"<span class=""blurb blurb_collapsed"">What a boring piece of crap. Same set of questions, same objective, same slow unskippable animations... What a sad excuse of a ""game"".<br/> <br/>This</span>"
Role-Playing|Action RPG|,"Nov 28, 2019",T,Rising Star Games,27,Amplify Creations,Decay of Logos,6.7,Embark on a journey of revenge and betrayal set in motion by the destruction of our young adventurer’s village at the hands of Crimson Knights. Find solace in your trusty elk companion as you battle the unforgiving foes that roam this once peaceful realm. Venture into ancient ruins and dungeons in search of its rewards in a quest to find the truth behind the attack of Ada’s home.
Simulation|Vehicle|Civilian|,"Oct 25, 2019",E,Ultimate Games,25,IceTorch Interactive,Ultra Off-Road 2019: Alaska,4.6,I am not a fan of pure arcade car games and at the same time - the learning curve of such games like Mud Runner or Spintires just pushes me away. Ultra Off-Road is something in between. I actually had lots of fun but you can tell from far away that the game was made by a small dev team. For the record - I have a copy of both the Steam and Switch versions.
Action|Miscellaneous|Fighting|Party / Minigame|2D|,"Sep 10, 2020",E10+,Merge Games,23,Dark Screen Games,Bounty Battle,tbd,"Bounty Battle is the indie fighting game -- a new multiplayer 2D fighting game, where you can square off as your favorite indie hero against other indie heroes from games like Guacamelee!, Darkest Dungeon, Dead Cells, and Psychonauts 2 among other awesome indies. The game features more than 30 character, each with their own companion Minion and unique abilities. It's Super Smash Bros. meets indie games where you battle across levels inspired from indie game worlds with up to 4 players."
Sports|Individual|Biking|,"Apr  5, 2017",E,Poisoft,17,Poisoft,Vroom in the Night Sky,3.2,"<span class=""blurb blurb_collapsed"">Vroom in the night sky is a magical bike action game.<br/> <br/>There are various night skies in this world, and it is the work of Magical Girls to collect Stardusts there.

You become the Magical Girl Luna, ride a magical bike, fly around the night sky and collect Stardusts!

The Magical Gate</span>"
Action|Platformer|Beat-'Em-Up|2D|,"Dec  5, 2017",E10+,JanduSoft,52,JanduSoft,Caveman Warriors,5.6,Entusiastas do gênero plataforma certamente dirão que há muito o que se ver em Caveman Warriors. Não consigo enumerar a quantidade de vezes em
Racing|Arcade|Other|,"Nov 24, 2017",E,Bigben Interactive,52,Zordix,Snow Moto Racing Freedom,5.5,I love racing games and I never played one with snowmobiles before so I bought this not really knowing what to expect. Turns out I had much more fun with this than I thought I ever would. The feeling of driving a snowmobile is totally different from the car racing games that I normally play and I must say that it’s a nice change of pace to be driving in a snowy landscape.
Action|Platformer|2D|,"Sep  7, 2018",E,Sometimes You,52,Sometimes You,Sigi: A Fart for Melusina,tbd,"Sigi: A Fart for Melusina é um jogo divertido, engraçado e viciante, porém com vários erros que às vezes prejudicam sua experiência. Foi tão bem trabalhado em estética e sonoplastia que “esqueceram” de outros aspectos importantes. Se o jogo tivesse mais mundos ou fases e os chefões fossem equilibrados, talvez poderia se tornar um dos maiores indies do ano, mas preferiram só se tornarem uma homenagem, invés de inovar em algo."
Action|Platformer|2D|,"Oct 19, 2018",None,Headup Games,52,Napalmtree,Tied Together,tbd,"Not playable. The controls are really bad. I felt like I was walking through honey then suddenly I was flying through space. I had an abhorrid experience. Although I only played for a few minutes, that doesnt mean that this review is unjustified."
Action|Shooter|Rail|,"May 14, 2020",T,No Gravity Games,52,Orbital Knight sp. z o.o.,Star Horizon,tbd,"Star Horizon is a 3D, on rails, space shoot-em-up. You play as John, a pilot, or more accurately the person shooting stuff. Most of the real"
Puzzle|Action|,"Jul 16, 2020",E,indienova,52,ISVR,Never Breakup,tbd,"Never Breakup is a relaxing family game for two players. Play with your friends, lover, or even parents—it is tons of fun for both young and old alike. Players are transformed into ball-shaped animals and then bound together with an elastic rope. It is time for you to test your bond. You will face obstacles and puzzles that will test your skill, cooperation and coordination!"
Strategy|Management|Government|Business / Tycoon|,"Mar  3, 2017",E,Arc System Works,52,Arc System Works,New Frontier Days: Founding Pioneers,4.6,"<span class=""blurb blurb_collapsed"">Wtf with the press, why are you never right ?.<br/>This game for my taste was a pleasant surprise for the nintendo switch if it is true that it</span>"
Action|Action Adventure|General|Beat-'Em-Up|3D|,"Jul 20, 2021",None,XSEED Games,52,Acquire,Akiba's Trip: Hellbound & Debriefed,6.6,"AKIBA’S TRIP: Hellbound & Debriefed is the precursor to AKIBA’S TRIP: Undead & Undressed, the smash hit that introduced a Western audience to the seedy underworld lurking in the shadows of the haven of “otaku” culture in the Akihabara district of Tokyo. Released as AKIBA’S TRIP Plus in Japan, players explore a rich setting based on the famous “Akiba” district circa 2011, hunting vampiric foes and tearing off their clothes to expose them to sunlight. This remaster brings the game up to modern HD graphical standards, all while retaining the charm of the original classic that sparked a cult hit series. "
Racing|Arcade|Automobile|,"Feb 25, 2022",E10+,Ratalaika Games,52,Ratalaika Games,Moto Roader MC,tbd,"<span class=""blurb blurb_collapsed"">Become the ultimate cookie master. Have you ever imagined owning a bakery full of unlimited amounts of cookies? In this game you will be able to make many cookies! Really, many, many! Millions of them! Billions of them! Trillions... You get it.<br/> <br/>Enjoy yourself playing this very fun game</span>"
Action|General|Platformer|2D|,"Oct 30, 2020",E10+,ININ Games,51,Success,Umihara Kawase BaZooKa!,tbd,None
Simulation|General|,"Jan 18, 2018",T,Gambitious,51,Gambitious,Oh...Sir! The Insult Simulator,5.6,"The parrot is back from the dead bringing countless new insults for your disposal, Sir! Remember that silly game that parted lovers, destroyed families and turned friends into enemies? Here's its successor that does even more, certainly with more style and more variety. And I have proof!"
Sports|Team|Baseball|Arcade|,"Jun 14, 2018",E,MLB AM,51,MLB AM,R.B.I. Baseball 18,7.2,"<span class=""blurb blurb_collapsed"">rbi baseball switch only<br/> <br/>pros
great controls
amazing batting system
great graphics
classic baseball game released

cons
very laggy</span>"
Strategy|Turn-Based|Tactics|,"Dec  7, 2017",E10+,TACS Games,51,TACS Games,ACORN Tactics,tbd,None
Action|Platformer|2D|,"Sep 27, 2018",M,Adult Swim,51,Super Awesome Hyper Dimensional Mega Team,Rise & Shine,tbd,"This is a game that does what it promises excellent. From start to finish, Rise & Shine references other popular video game series, especially The Legend of Zelda, Super Mario Bros., and Gears of War. The problem is about the duration of this game, really short. It is a shame that the gameplay and story can't match up to the wonderful soundtrack and art style. The smooth and colorful animations are adorable and desktop-background worthy, while the soundtrack is better than it has any right to be, with memorable orchestrated tracks including vocals and piano reminiscent of Halo and Gears of War fodder. Seriously, I love this soundtrack."
Simulation|General|,"Jan 10, 2019",E,Kool2Play,51,Kool2Play,Clock Simulator,tbd,"You will appreciate your clock all the more after playing this. Though the gameplay remains basically the same; pressing a button in sync with a clock, the different modes available provide an aire of diversity."
Sports|Individual|Other|,"Oct 19, 2017",E,Starsign,51,Starsign,Super Ping Pong Trick Shot,tbd,None
Racing|Arcade|Automobile|,"Feb  5, 2019",E,Bigben Interactive,51,Kylotonn,V-Rally 4,4.9,"switch release of this game has lower graphic than other console, but not that bad. Still enjoying the game. I get this game on eShop sale in"
Action Adventure|General|,"Jan 14, 2019",E10+,Fictive Studios,51,Mad About Pandas,Forever Forest,5.0,"Forever Forest is a unique blend of exploration, survival, action and role-playing, set in a beautiful, organic environment. You slip into the role of a friendly forest creature, who is drawn into a great adventure after discovering a magical mask. You set forth on a journey to carry the last ray of light across stony deserts, treacherous swamps and poisonous lakes to illuminate a world covered in darkness. Use your wits and skill to sustain yourself on colorful fruits and critters, hunt and be hunted by powerful beasts and permanently evolve by absorbing the abilities of your enemies into your mask."
Sports|Team|Baseball|Arcade|,"Mar  5, 2019",E,MLB AM,51,MLB AM,R.B.I. Baseball 19,4.6,"Call up rookies, win free agents, and beat the trade deadline to take your Franchise to the next level. New two-way players give savvy managers even more options. Updated player models, hundreds of new animations, more detailed gear options, revamped ball physics and amplified ballparks deliver the promise of unparalleled MLB action. Play as 165 all-time greats like Jackie Robinson, Ted Williams, Reggie Jackson or one of our all-new Legends teams. Pick any MLB player or Legend, and compete in any MLB ballpark for the ultimate Derby showdown.  [RBI Game]"
Simulation|Racing|Arcade|Vehicle|Automobile|Civilian|,"Feb 23, 2021",E10+,GS2 Games,51,Team6 Game Studios,Taxi Chaos,5.4,"Taxi Chaos  is a casual arcade racing game where you select one of a wide range of unlockable cabs, each of whom has different attributes: the strong muscle car, the superfast exotic supercar, the corner-drifting Japanese tuner, an American classic from the ‘60s and more: Taxi Mayhem has them all. Your goal is to try and earn big cab fares, by picking up any customers and dropping them off at their destination spots as fast as possible before you run out of time! However, beware: most customers are a little crazy."
Puzzle|Action|,"Jan 19, 2018",E10+,10tons,51,10tons,Baseball Riot,5.6,"<span class=""blurb blurb_collapsed"">Start a baseball riot! Help Gabe Carpaccio take vengeance on the unholy alliance of his former team and a corrupt energy drink manufacturer Explodz Inc.!<br/> <br/>Baseball Riot is a sequel to the fan favourite Tennis in the Face.

Baseball Riot is a fun physics based puzzle game packed with</span>"
Racing|Arcade|Automobile|,"Nov  1, 2019",E,Outright Games,51,Outright Games,Race with Ryan,3.0,"Take the wheel as Ryan and all your favorite Ryan’s World friends. Ryan’s World has come to life, and it’s every bit as colorful, fun and fast as you imagined. So pick a racer, head to one of six magical locations, and step on the gas to show your friends and family who the fastest racer really is. This is no ordinary championship! Ryan’s famous Mystery Eggs are scattered across each track, and they’re full of surprises that help you power through the pack – like Burger Shields, Sticky Slime, Trick Surprise Eggs and many more. A huge cast of Ryan’s World characters are here to race, including Policeman Ryan in his Patrol Car, Red Titan, Gus the Gummy Gator, Pirate Combo Panda, plus many more you’ll unlock as you race your way to the top. From the miniature toy world of Fantasy Park, to the pirate kingdom of Treasure Island and beyond, each world is full of secret pathways, slippery slides and kids’ imagination."
Racing|Arcade|Futuristic|,"Nov 27, 2020",E,Ultimate Games,50,Sylwester Osik,Electro Ride: The Neon Racing,tbd,"The fame awaits. And you don’t do it for just yourself: you do it for the society. Enter the crazy neon racing world and become the hero of your neighborhood today. Electro Ride is a Soviet Bloc Arcade Racer with neon lights. Become the fastest racer in Neon-alternative East Bloc from the Berlin Wall to Moscow. Neon lights, unique classic East Bloc cars, color-sensitive boosts strips, phisics, synthwave and beloved splitscreen. 100% adrenaline. In an alternate Europe in which the Eastern Bloc did not fall, but transformed into a center of eternal wealth and progress - this is where fame awaits you. No ABS, no traction control, no modern electronic system. Only you and a beautiful, classic vehicle with super-powerful neon lights. Show your driving and drifting skills."
Action Adventure|Linear|,"Sep 19, 2019",M,Capcom,50,Capcom,Devil May Cry 2,7.8,"Dante, the world's most stylish demon slayer is back to shake the legions of the underworld to their knees in Devil May Cry 2. This time, Dante has a new devilish partner: Lucia, a mysterious and acrobatic heroine. Don't let Dante's handsome face lull you, as he has some moves of his own, including running and jumping on walls, aerial kicking, and the ability to simultaneously shoot in two directions. Unleash your inner demon as you battle hoards of monsters in massive, hellish environments."
Role-Playing|General|,"Oct 15, 2021",T,Playism,50,White Owls,The Good Life,6.1,"<span class=""blurb blurb_collapsed"">Play as Naomi, a journalist from New York who moves to a backwoods British town called Rainy Woods in order to pay off her massive debt.<br/><br/>The only way for her to escape from debt hell is to take pictures of happenings in the town and report on them. Of course, 'the happiest town in the</span>"
Action|Shooter|Shoot-'Em-Up|Top-Down|,"Dec 21, 2017",T,Wired Productions,50,Epiphany Games,Tiny Troopers: Joint Ops XL,tbd,None
Action|Platformer|2D|,"Oct 25, 2018",None,JanduSoft,50,Grimorio of Games,Super Hyperactive Ninja,tbd,"A quite good game, despite its flaws and lack of production values. Graphics are very simple and reused a lot throughout the game (especially"
Action Adventure|General|,"Dec  1, 2020",M,Paradox Interactive,50,Romero Games Ltd.,Empire of Sin,7.3,"Empire of sin, the strategy game from romero games and Paradox interactive, puts you at the heart of the ruthless criminal underworld of 1920S prohibition-era Chicago. It's up to you to Hustle, charm and intimidate your way to the top of the pile and do whatever it takes to stay there. This character-driven, noir-inspired game puts players smack dab in the glitz and glamor of the roaring 20S, all while working behind the scenes in the gritty underbelly of organized crime. "
Miscellaneous|Party / Minigame|,"Feb  7, 2020",E,M2H,50,M2H,Marooners,tbd,"Play a wild mix of fun party games as the action regularly switches back and forth between games. Can you handle the switcheroo chaos? Join your friends both on the couch and online while sadistically laughing at their misfortune, or come back to haunt them if you die. Run, jump and slap your way to victory!Party Game madness: experience switcheroo chaos as the action jumps between multiple intense minigames when you least expect it, or take the challenge of completing a full play through of each minigame once. Face different game types and surprise bonus stages."
Miscellaneous|Gambling|,"Nov 24, 2021",T,Ripstone,50,Ripstone,Poker Club,tbd,"Raise your game with over 10 Texas Hold’em tournament modes including freezeouts, shootouts, bounties and more. Join a Club and team up with friends and players from across the world to earn rewards, unlock shared goals and level up your Club. Advance from back-room games to big-money main events as you climb the ranks in the PCC Poker Tour."
