genres,metascore,developer,userscore,rating,publisher,title,summary,release_date
Role-Playing|Action Adventure|Action RPG|Open-World|,67,Triple-I Games,tbd,M,Triple-I Games,Hindsight 20/20: Wrath of the Raakshasa,Hindsight 20/20: Wrath of the Raakshasa is a 3D third-person action RPG that allows you to fix your mistakes from past playthroughs and relive them for vastly different gameplay and story experiences. Your choices and actions have meaningful consequences that allow you to discover the power of your morality.,"Sep  9, 2021"
Simulation|Vehicle|Combat|,66,Bandai Namco Games,6.1,None,Bandai Namco Games,Mobile Suit Gundam: Battle Operation Code Fairy,"Mobile Suit Gundam: Battle Operation Code Fairy tells the story of the “Noisy Fairy”—a secret unit led by Alma and under the direct control of Kycilia of the Principality of Zeon. During the “One Year War,” the unit struggles to break through the North America continent. The game features the top-notch action of Mobile Suit Gundam: Battle Operation 2, while providing a deep and extensive side story for both fans and newcomers alike. Explore the world of Code Fairy as unbreakable bonds are formed in the midst of the brutality of war.","Nov  5, 2021"
Action Adventure|General|,66,Oddworld Inhabitants,6.4,T,Oddworld Inhabitants,Oddworld: Soulstorm,"<span class=""blurb blurb_collapsed"">In Oddworld: Soulstorm, you pick-up where New 'N' Tasty left off. Abe has undergone an unwanted transformation from being a clueless Mudokon cog, literally about to be chewed up by the Glukkons' big business machine, into an unlikely hero, a beacon of hope. <br/>Abe was someone who went about</span>","Apr  6, 2021"
Action Adventure|Open-World|,66,Ubisoft Montreal,5.4,M,Ubisoft,Watch Dogs: Legion,"In the near future, London is facing its downfall: the people are being oppressed by an all-seeing surveillance state, a corrupt private military corporation controls the streets, and a powerful crime syndicate is preying on the vulnerable. The fate of London lies with you, and your ability","Nov 12, 2020"
Racing|Arcade|Automobile|,66,Milestone S.r.l,tbd,None,Koch Media,Monster Energy Supercross - The Official Videogame 4,"<span class=""blurb blurb_collapsed"">Cross is Super Again. The official videogame of the Monster Energy AMA Supercross Championship is back with its fourth edition, promising to be the most extreme ever.<br/> <br/>A SUPER CAREER
Make your way along the path that will lead you to success. A new career mode will put your abilities to</span>","Mar  8, 2021"
Role-Playing|General|,66,Lancarse,5.4,T,NIS America,Monark,"How far will you go to save the ones you love? Could you face the threats that surround you? Could you face yourself? Your world is plunged into madness when the mysterious and deadly Mist surrounds Shin Mikado Academy. In order to save your friends, you enter the Otherworld, a Daemon-filled dimension beyond the real world. Within this enigmatic realm, you must learn to harness your Authority of Vanity and conjure a battalion of Fiends, whose power comes from the Ego of their master. Develop your Ego through various psychological tests to enhance the power of your Fiends, and lead your forces into battle to fight with and against the seven ""Pactbearers"" that are corrupting the academy. Embrace the power of your madness to gain strength, but take care not to delve too far, lest you risk losing yourself. Fellow students and instructors will lend you their aid in your quest to resolve the anomalies throughout the campus.","Feb 22, 2022"
Adventure|General|,66,Subliminal,tbd,None,Subliminal,Button City,"<span class=""blurb blurb_collapsed"">Button City<br/>Cute, but that’s about it<br/>Button city is a super colorful cute game where you play as an adorable fox, going around this little</span>","Aug 10, 2021"
Action|Shooter|First-Person|Arcade|,65,Croteam,6.9,None,Devolver Digital,Serious Sam 4: Planet Badass,"Humanity is under siege as the full force of Mental's hordes spread across the world, ravaging what remains of a broken and beaten civilization. The last remaining resistance to the invasion is the Earth Defense Force led by Sam ""Serious"" Stone and his heavily-armed squad of misfit","Dec 22, 2021"
Adventure|3D|Third-Person|,65,Variable State,3.8,None,Annapurna Interactive,Last Stop,"Last Stop is a single-player third-person narrative adventure game set in present day London, where you play as three separate characters whose worlds collide in the midst of a supernatural crisis. An anthology drama, Last Stop is three stories in one. What connects these three strangers? Where will fate lead them?","Jul 22, 2021"
Miscellaneous|Party / Minigame|Action|Fighting|2D|,65,Ludosity Interactive,5.7,E10+,GameMill Entertainment,Nickelodeon All-Star Brawl,"<span class=""blurb blurb_collapsed"">THE ALL-STAR BRAWL BEGINS!<br/> <br/>Nickelodeon All-Star Brawl brings together all your Nickelodeon favorites for one bombastic battle. Face off with a power-packed cast of heroes from the top shows within the Nickelodeon universe, including SpongeBob SquarePants, Teenage Mutant Ninja Turtles,</span>","Oct  5, 2021"
Action|Shooter|First-Person|Arcade|,65,Teyon,6.0,M,Reef Entertainment,Terminator: Resistance - Annihilation Line,"ANNIHILATION LINE picks up mid-way through the main campaign story. The Resistance has just defeated their first Infiltrator, but for Jacob Rivers, there’s no time to rest up. Orders have come down from John Connor himself that Jacob is to assist in the investigation of Northridge Outpost, a civilian settlement which has mysteriously gone silent. Why did no-one from Northridge attempt to radio in? Is this the work of Skynet? And are the civilians still alive? To find answers, Rivers and a small team of Resistance soldiers led by Connor’s right-hand man Kyle Reese, must head into the most dangerous territory imaginable...the land beyond the Annihilation Line. ","Dec 10, 2021"
Action|Platformer|2D|,65,Monokel,6.8,T,Headup Games,White Shadows,"Given that this game is the first one from Monokel Games and they created this with just a hand-full of people, this is a solid entry imo.","Dec  7, 2021"
Action Adventure|Survival|,64,Endflame,tbd,T,PM Studios Inc.,Ikai,"kai is a first-person psychological horror game drawing inspiration from Japanese folklore. Live the horror by the hand of its defining yokais and submerge into the superstitions of the past driven by a unique story and exploration. Ikai embodies the spirit of the classical psychological horror genre with a defenceless main character incapable of attacking the evil creatures. However, it explores a new sense of horror by making the player face the threats directly neither fleeing nor attacking. Every mechanic of the game is meant to raise this relatable feeling of helplessness and create a tense atmosphere. The slow, precise and natural movements as a way of interaction resemble real life's to foster immersion in the uncanny world of Ikai .","Mar 29, 2022"
Action Adventure|General|,64,Lince Works,5.9,M,Merge Games,Aragami 2,"<span class=""blurb blurb_collapsed"">ARAGAMI 2 REVIEW<br/>Reviewed on Playstation 5<br/>
I have read a couple of reviews from well known sites such as IGN, and they are pathetic! These</span>","Sep 17, 2021"
Adventure|3D|Third-Person|,64,Infuse Studio,6.1,E,Merge Games,Spirit of the North: Enhanced Edition,Spirit of the North: Enhanced Edition is a single-player 3rd-person adventure game inspired by the breathtaking and mysterious landscapes of Iceland. The story takes root from various pieces of Nordic folklore. Play as an ordinary fox whose story becomes entwined with The Guardian of the,"Nov 26, 2020"
Adventure|General|,64,Luis Antonio,tbd,None,Annapurna Interactive,Twelve Minutes,"<span class=""blurb blurb_collapsed"">TWELVE MINUTES is a real-time top-down interactive thriller with an accessible click and drag interface.<br/><br/>What should be a romantic evening with your wife turns into a nightmare when a police detective breaks into your home, accuses your wife of murder and beats you to death...

Only for you</span>","Dec  7, 2021"
Action Adventure|General|,63,Sumo Newcastle,6.2,M,Focus Home Interactive,Hood: Outlaws & Legends,Amazing game! Can’t wait for the DLC in year 1.  Couldn’t put the game down all weekend. Once you get a grasp of the game’s mechanics and,"May  7, 2021"
Action Adventure|Survival|,63,Koei Tecmo Games,8.2,M,Koei Tecmo Games,Fatal Frame: Maiden of Black Water,The Fatal Frame series lives again.  (Also know as Project Zero...) Fatal Frame: Maiden of Black Water is comprised of three interconnected stories that converge to uncover the truth behind a recent string of tragic deaths in a forest marred by a history of suicides. As one of three people,"Oct 28, 2021"
Action|General|Fighting|3D|,63,Modus Studios Brazil,tbd,None,Modus Games,Override 2: Super Mech League,"<span class=""blurb blurb_collapsed"">Override 2: Super Mech League<br/>a fun little party mechfighter<br/>Override 2: Super Mech League is an up to 4 play mech brawler that can be</span>","Dec 22, 2020"
Action|Shooter|First-Person|Tactical|,63,EA DICE,2.6,M,Electronic Arts,Battlefield 2042,"Battlefield 2042 marks the return to the iconic all-out warfare of the franchise. Adapt and overcome dynamically-changing battlegrounds with the help of your squad and a cutting-edge arsenal. With support for 128 players*, prepare for unprecedented scale on vast environments. Take on massive experiences, from updated multiplayer modes like Conquest and Breakthrough to the all-new Hazard Zone.","Nov 12, 2021"
Role-Playing|Japanese-Style|,63,Artisan Studios,6.8,T,Dear Villagers,Astria Ascending,"For anyone who grew up playing JRPGs, this will take you back. Great gameplay, interesting story written by Nojima, a fantastic mini-game that will remind you of Triple Triad, lots of side quests, and a really in-depth job system. Reviews might be all over the place, but definitely give it a try yourself.","Sep 30, 2021"
Sports|Team|Cricket|,63,Big Ant Studios,5.8,E,Big Ant Studios,Cricket 22,"Not only will Cricket 22 feature the perennial favourite Ashes competition, but the scope of licenses featured in the game has expanded massively. Cricket fans will be able to enjoy Australia’s Big Bash T20 competition, The Hundred, the hugely innovative new competition in England and Wales, the tropical party of the CPL in the Caribbean, and take to the international field of battle with fully-licensed teams from Australia, England, The West Indies, New Zealand and Ireland.","Dec  2, 2021"
Adventure|General|,63,EggNut,tbd,M,Raw Fury,Backbone,"<span class=""blurb blurb_collapsed"">Backbone is a post-noir roleplaying detective adventure, in which you step into the shoes of raccoon private investigator, Howard Lotor, and explore dystopian Vancouver, BC, beautifully rendered in high resolution pixel art.<br/><br/>After years of small-time cases, lonely evenings, and just barely</span>","Oct 28, 2021"
Simulation|Vehicle|Combat|,62,Lucid,5.0,T,Sony Interactive Entertainment,Destruction AllStars,"Llevo jugándolo desde hace horas y la cantidad de diversión que me da es comparable a la que siento con Fall Guys, los controles son una delicia y la moneda interna del juego bastante balanceada, solo puedo echar en falta un modo historia mas competente y una mejor musicalización, pero nada que una serie de actualizaciones no puedan arreglar.","Feb  2, 2021"
Action|Shooter|First-Person|Arcade|,62,Teyon,7.0,M,Reef Entertainment,Terminator: Resistance Enhanced,"This game does an excellent job capturing the first and second movie's atmosphere. Not only that, it explains and expands the lore of Terminator. The dim postapocalyptic world combined with great licenced music from the first two Terminator movies gives you the impression that you are actually a resistance soldier fighting Skynet with John Connor and Reese. When we were kids my friends and I were telling stories and pretending fighting Terminators and stuff. If only we could play this game back then, that would be too much excitement for as to handle. I can't be thankful enough to the Reef studios for making the wold of Terminator alive and giving me the opportunity to relive some of my best childhood memories.","Apr 30, 2021"
Role-Playing|Action RPG|,61,Counterplay Games,4.3,T,Gearbox Publishing,Godfall,"I'm reviewing the game as 10 since so many people seem to give it hate. This game is for people who thoroughly enjoy the looter genre, don't","Nov 12, 2020"
Action|Beat-'Em-Up|3D|,61,Koei Tecmo Games,8.0,T,Koei Tecmo Games,Dynasty Warriors 9 Empires,"Empires, a unique ""Romance of the Three Kingdoms"" experience. Dramatic stories of officers on different sides. All 94 officers who have appeared in DYNASTY WARRIORS 9 are  playable. In addition, players can control all 700 common officers. A major change from previous series titles, areas around castles become battlefields, evolving into “Storming the Castle” instances. Employ strategic Secret Plans and balance Army Affinity to break through the enemy's gate. Defeat the enemy commander in Decisive Battle mode to claim victory of the castle. The Empires series' signature domestic system is back. With a high degree of flexibility, set long and mid term kingdom goals, recruit new officers, procure logistics, and execute a variety of military, economic and diplomatic commands to strive to unify China.","Feb 15, 2022"
Action Adventure|General|,60,Antab,tbd,None,Merge Games,Foreclosed,"FORECLOSED is a narrative-driven action-shooter set in a Cyberpunk world filled with action, suspense, and experimental augmentations. Follow the story of Evan Kapnos, his identity recently Foreclosed, stripped of his job, his brain implants and his access to the city Block-chain, he must","Aug 12, 2021"
Role-Playing|Action Adventure|General|Japanese-Style|,60,Midgar Studio,6.7,T,Dear Villagers,Edge Of Eternity,"<span class=""blurb blurb_collapsed"">In a world torn asunder, the people of Heryon wage a desperate war against a mysterious invader, the Archelites. As this conflict against magic and technology grows to cataclysmic proportions, a new threat emerges from the battlefield.<br/><br/>The Corrosion: the Archelites' most cruel weapon, a</span>","Feb 10, 2022"
Action|Shooter|Shoot-'Em-Up|Top-Down|,59,Only By Midnight,6.0,E10+,Maximum Games,Curved Space,"<span class=""blurb blurb_collapsed"">What is this game about:<br/> <br/>In 3 words Curved Space is about Push Forward Combat. The same phrase used by ID software to explain the combat</span>","Jun 29, 2021"
Action Adventure|Open-World|,59,Jutsu Games,tbd,None,Maximum Games,Rustler,I took a punt on Rustler based on how it seemed to not take itself too seriously and was unashamedly embracing its GTA-features. While this is,"Aug 31, 2021"
Action Adventure|General|,59,Flight School Studio,tbd,None,MWM Interactive,Stonefly,None,"Jun  1, 2021"
Sports|Individual|Tennis|,58,Big Ant Studios,3.3,None,Maximum Games,Tennis World Tour 2,"Compete as the world's top players or create your own player to dominate the world rankings. Tennis world tour 2 will give you the opportunity to experience the purest form of tennis, with faster paced gameplay and enhanced animations that create most realistic tennis simulation yet. Choose from multiple game modes, in single or doubles games, and challenge your friends locally or online.","Mar 25, 2021"
Action|Shooter|Shoot-'Em-Up|Top-Down|,58,Weird Beluga,7.0,None,Koch Media,Clid the Snail,"Clid The Snail is an innovative top-down shooter with a narrative focus and a methodical, mindful approach to combat. Players will join the troublesome snail Clid and help him and a peculiar gang of outcasts defeat the slug plague that is ravaging their world. In addition to a delightfully grim environment ready to be explored, players will experience a vast array of weapons, mechanics, and puzzles that will encourage creative and strategic gunplay.","Aug 31, 2021"
Action Adventure|Survival|,58,Wales Interactive,7.3,M,Wales Interactive,Maid of Sker,"<span class=""blurb blurb_collapsed"">Brave the nightmares of the Quiet Ones. Do not panicdon't even breathe!<br/> <br/>Maid of Sker is a first-person survival horror, set in a remote hotel with a gory and macabre history from British folklore. Armed with only a defensive sound device, you'll utilise stealth tactics to avoid death</span>","May 26, 2021"
Role-Playing|General|,57,Tuque Games,3.5,M,Wizards of the Coast,Dungeons & Dragons: Dark Alliance,"Non merita la pioggia di 0 che sta ricevendo. Sicuramente il combat system è migliorabile, ma l'avventura è intrigrante, le missioni bilanciate e sfidanti. La migliore esperienza si ottiene in cooperativo. A tal proposito, ottima la gestione online/offline in caso di gioco cooperativo o singolo.","Jun 22, 2021"
Action Adventure|Open-World|,56,Phigames,tbd,T,Phigames,Recompile,"3D sci-fi Metroidvania Recompile features intense combat, tight platforming, super-powered abilities and a unique environmental hacking system. Many obstacles, right down to foes, can be manipulated and bypassed. The story explores many themes from machine sentience to the nature of reality.","Aug 19, 2021"
Action|Strategy|Turn-Based|Shooter|First-Person|Tactics|Arcade|,56,Focus Home Interactive,5.8,None,Focus Home Interactive,Necromunda: Hired Gun,"The Hunter’s Bounty pack, available with all pre-orders of Necromunda: Hired Gun! Take down marks in style, with a unique knife, stub gun, and outfit skin, as well as a new look for your mastiff’s toy. This product entitles you to download both the digital PS4™ version and the digital PS5™","Jun  1, 2021"
Action Adventure|General|,55,Lienzo,tbd,T,Lienzo,Aztech: Forgotten Gods,"Some things are best left forgotten. Aztech Forgotten Gods is the cyber-stone action-adventure following Achtli, a young woman who battles the colossal Forgotten Gods. To uncover the truth behind her far-future Mesoamerican metropolis, she'll have to turn the Gods' power against them, as she","Mar 10, 2022"
Miscellaneous|Compilation|,54,Rockstar Games,0.9,M,Rockstar Games,Grand Theft Auto: The Trilogy - The Definitive Edition,"Three iconic cities, three epic stories. Play the genre-defining classics of the original Grand Theft Auto Trilogy: Grand Theft Auto III, Grand Theft Auto: Vice City and Grand Theft Auto: San Andreas updated for a new generation, now with across-the-board enhancements including brilliant new lighting and environmental upgrades, high-resolution textures, increased draw distances, Grand Theft Auto V-style controls and targeting, and much more, bringing these beloved worlds to life with all new levels of detail.","Nov 11, 2021"
Action|Action Adventure|Shooter|Linear|Shoot-'Em-Up|Top-Down|,54,Drakkar Dev,tbd,T,Blowfish Studios,Blackwind,"Blackwind is a hack n slash shooter platformer sci-fi action game that puts you against hordes of enemies and frantic battles in a desperate attempt to stop a planetary invasion. The Raknos hordes are raging the planet Medusa-42, a small human mining colony. When the starship “Pandora” is shot down, James Hawkins finds himself trapped inside a military Battle Frame prototype. He’ll have to discover its powers to survive the alien forces in different planet locations while searching for his father.","Jan 20, 2022"
Role-Playing|Action RPG|,54,Cyanide,3.9,M,Nacon,Werewolf: The Apocalypse - Earthblood,"A unique experience full of savage combat and mystical adventures, inspired by the famous role-playing game. You are Cahal, a powerful Garou who chose to go into exile after losing control of his destructive rage. On his quest for redemption and blood, Cahal plays a crucial role in the great","Feb  4, 2021"
Action|Platformer|3D|,51,Square Enix,5.3,E10+,Square Enix,Balan Wonderworld,"BALAN WONDERWORLD is an action platformer game themed around the Balan Theatre. Led by the enigmatic maestro named Balan, the stars of the show Emma and Leo will use special abilities from a multitude of characterful costumes as they adventure in the bizarre and imaginary land of Wonderworld. Here memories and vistas from the real world mix with the things that people hold dear. Twelve different tales await our stars in the Wonderworld, each with their own unique quirks. They will explore all corners of these labyrinthine stages, filled with a myriad of tricks and traps, to get to the heart of each story.","Mar 26, 2021"
Action Adventure|Survival|,51,Magicfish Studio,5.0,T,Maximum Games,In Nightmare,"Closing his heart to reality, our protagonist falls into a deep slumber and awakens in a nightmarish dreamworld. In Nightmare is a narrative-driven horror adventure game combining sneak action with diverse puzzles. It follows a young boy in search for the last hope of love who is working out","Mar 29, 2022"
Action Adventure|Adventure|3D|Open-World|First-Person|,48,Breaking Walls,6.0,T,Breaking Walls,AWAY: The Survival Series,"<span class=""blurb blurb_collapsed"">AWAY: The Survival Series<br/>I love this game<br/>AWAY the survival series is the first of what I hope many documentary styled adventure games..</span>","Sep 28, 2021"
Action Adventure|Open-World|,46,No Matter Studios,6.8,None,No Matter Studios,Praey for the Gods,"Praey for the Gods is a boss climbing open world adventure game where you play as a lone hero sent to the edge of a dying frozen world to discover the mystery behind a never-ending winter. Arriving with only the clothes on your back, you must survive the colossal dangers that you encounter. To restore balance and reclaim the land from the brink, you will be faced with questions that not even a God knows the answer to.","Dec 14, 2021"
Adventure|3D|First-Person|,43,JanduSoft,5.4,None,JanduSoft,Evil Inside,Claro homenaje al famoso Silent Hill P.T. No es un juego muy largo pero me pareció interesante y sobretodo por su precio. Además que lo desarrolló un estudio catalán y tenia un especial interés en jugarlo.,"Mar 25, 2021"
Action Adventure|General|Role-Playing|Action RPG|,41,PlatinumGames,2.1,T,Square Enix,Babylon's Fall,"Experience acclaimed developer PlatinumGames' signature combat in BABYLON’S FALL with up to 3 other players or take on the Tower of Babel alone, in this new cooperative action RPG. After the Babylonians perished, only their great tower “The Ziggurat” remained. Now a new Empire has come to pillage its ruins and uncover its fabled treasures. Join forces with other Sentinels, unwilling subjects forcibly implanted with Gideon Coffin, relics that grant the few survivors unrivalled powers. Ascend to greatness as you climb the looming Tower of Babel and uncover its fabled treasures. Only by mastering the powers of your Gideon Coffin, will you unlock your true potential and become strong enough to survive the summit and uncover the secrets that await. Pre-order BABYLON'S FALL to obtain a unique customization for your character, The Empress' Insignia. Show off to other Sentinels that you were one of the first to obtain a Gideon Coffin and become a Sentinel. ","Mar  3, 2022"
Sports|Team|Soccer|Sim|,34,Konami,1.1,E,Konami,eFootball 2022,"From ""PES"" to ""eFootball™ It all began with the implacable determination to create a revolutionary soccer platform. Our ambition was to recreate the perfect soccer environment, from the grass on the field, to the players' movement, all the way to the crowds in the stadium. To this end, we","Sep 30, 2021"
Action Adventure|Survival|,34,Dead Drop Studios LLC,tbd,None,Dead Drop Studios LLC,Outbreak: Endless Nightmares,"Experience true horror in this co-op survival horror roguelike. Outbreak: Endless Nightmares twists the series' survival horror gameplay by adding elements of roguelike gameplay. You'll need to explore, hunt for supplies, uncover clues, and fight your way through each anomaly – each","May 19, 2021"
Action|Shooter|First-Person|Arcade|,77,Turtle Rock Studios,5.4,M,Warner Bros. Games,Back 4 Blood,"All I ever wanted from L4D was a reason to play each level more than once, and finally B4B has enough variables, build customization, and","Oct  7, 2021"
Role-Playing|Action RPG|,77,DrinkBox Studios,6.0,T,DrinkBox Studios,Nobody Saves the World,"<span class=""blurb blurb_collapsed"">When the ancient Calamity re-awakens, who can save the world? Nobody! (That's you, you're Nobody.) Master the art of transformation to become a Slug, Ghost, Dragon, and more in this new take on Action RPGs from the creators of Guacamelee!<br/><br/>Complete quests to discover and swap between 15+</span>","Apr 14, 2022"
Action|Platformer|2D|,77,Yacht Club Games,6.6,E10+,Yacht Club Games,Cyber Shadow,"<span class=""blurb blurb_collapsed"">Cyber Shadow is more then just your run of the mill indie-pixel core shovelware game.<br/><br/>It’s filled with excellent level design, a ton of enemy</span>","Jan 26, 2021"
Adventure|3D|First-Person|,77,Bloober Team,7.1,M,Aspyr,Observer: System Redux,Wow...what an incredible ride. Amazing beautiful abstract environments. Great story. Lots of replay. Note: should be a warning somewhere about people sensative to an lights. What an adventure. And an appropriate Swan song for Rutger Hower. (R.I.P.),"Nov 12, 2020"
Action|Shooter|First-Person|Arcade|,77,Bungie Software,5.8,None,Activision,Destiny 2: Beyond Light,"I don’t care what other people say about new players having difficulty joining the game - I entered on the free trial, fell in love with","Nov 10, 2020"
Racing|Arcade|Automobile|,77,Codemasters,6.7,E10+,Electronic Arts,GRID Legends,"Grid Legends combines thrilling motorsport action, incredible race variety, and an immersive story that puts the player at the heart of the action. Blending brand new features with a quarter-century legacy of fantastic racing experiences, today’s official reveal trailer kicks off a new chapter for a legendary racing series.","Feb 25, 2022"
Action Adventure|Survival|,77,The Farm 51,7.0,None,All in! Games,Chernobylite,"<span class=""blurb blurb_collapsed"">Chernobylite is a new game from the creators of the critically-acclaimed Get Even.<br/>It's a science-fiction survival horror experience, mixing the free exploration of its disturbing world with challenging combat, unique crafting, and non-linear storytelling. Play as a physicist, one of the</span>","Apr 21, 2022"
Action Adventure|General|Open-World|,77,Giant Squid,8.1,E10+,iam8bit,The Pathless,"From the creators of ABZÛ, The Pathless is a mythic adventure game about an archer and an eagle in a vast forest. Become the Hunter, a master of archery who travels to a mystical island to dispel a curse of darkness that grips the world. Forge a connection with your eagle companion as you hunt corrupted spirits, but be careful not to become the hunted yourself. Explore misty forests full of secrets, solve puzzles in ancient ruins, and test your skill in epic battles. The bond with your eagle and the fate of the world hang in the balance. [Giant Squid]","Nov 12, 2020"
Sports|Individual|Other|,77,Ubisoft,7.0,T,Ubisoft,Riders Republic,"Jump into the Riders Republic massive multiplayer playground! Meet and compete with other players, and ride hard with an exciting range of activities such as bike, ski, snowboard, wingsuit and rocket wingsuit. Live out the rider's fantasy as you roam free in a huge, vibrant open world,","Oct 28, 2021"
Racing|Simulation|Automobile|,77,Milestone S.r.l,6.5,None,Koch Media,MotoGP 21,"Discover all the official rosters and tracks and experience the thrill of the 2021 Season. And if you want to dive into the past, you can relive the MotoGP™ history with more than 40 riders and their iconic bikes. Take critical decisions and find a winning strategy to take over the","Apr 22, 2021"
Role-Playing|Strategy|Turn-Based|General|Tactics|,77,Kadokawa,tbd,T,Clouded Leopard Entertainment,Relayer,"A next-generation robot SRPG set in a sci-fi alternate reality, in which Starchildren—humans who have been granted special abilities—take on an extraterrestrial threat known as the Relayers. Command a squadron of Stellar Gear, humanoid weapons developed from the technology of ancient alien","Mar 24, 2022"
Sports|Individual|Combat|Wrestling|,77,Take-Two Interactive,7.4,T,2K Games,WWE 2K22,"Get ripped out of the stands and hit with complete control of the WWE Universe. Hit with the biggest and most realistic-looking WWE Superstars and Legends: The Rock, Sasha Banks, Goldberg, Brock Lesnar & more. Relive pivotal moments in Rey Mysterio’s iconic career in 2K Showcase and 619 your","Mar  8, 2022"
