genres,release_date,metascore,developer,publisher,userscore,rating,summary,title
Action|Shooter|Shooter|First-Person|Modern|Modern|Arcade|,"Nov  1, 2012",26,Eurocom Entertainment Software,Activision,2.9,T,"007 Legends features an original, overarching storyline that explores Bond's journey from a newly-minted secret agent to the most beloved, or hated, spy legend there has ever been. Players experience the conscience and gritty evolution of James Bond by tying together 5 classic Bond movie-inspired missions: Moonraker, On Her Majesty's Secret Service, Die Another Day, Licence to Kill, and Goldfinger.  A 6th mission based on this year’s SKYFALL is available post-launch as DLC. Each of the 007 Legends movie-inspired missions include multiple levels based on a re-imaginings of some of the most iconic Bond films, showcasing state-of-the-art spy gadgets, an arsenal of weapons and tricked-out vehicles, exotic locales, and intense moments that require Bond’s dexterity to defeat notorious villains and their wiley henchmen.",007 Legends
Action Adventure|Fantasy|General|Fantasy|,"Dec 14, 2007",26,Shiny Entertainment,Sega,3.2,E10+,"The Golden Compass follows the screenplay adaptation of the first book in the acclaimed trilogy, capturing the fantasy adventure set in a parallel world where giant armored bears rule a kingdom, beautiful witches fly through the frozen skies, and human beings' deepest essence is manifest as talking animals that remain their faithful companion for life – their daemon. Players can assume the role of Lyra, a young girl, along with her daemon Pantalaimon (Pan), as she journeys through the frozen wastes of the North to rescue a friend kidnapped by a mysterious organization known as The Gobblers and winds up on an epic quest to save not only her world, but ours as well. Gamers can also take on the character of Iorek Byrnison, a great armoured polar bear who joins the quest. As Lyra, players use their daemon and collaborate with in-game characters, collecting special items in order to explore, evade, and deceive their way through confrontations with the Gobblers, the Magisterium, and the horribly dangerous spy fly to find her friend. They can also do battle as Iorek with special attacks and a riding mechanic as he protects Lyra during the journey. Gamers can unlock secrets and mini-games using a mysterious, truth-telling golden compass device called an alethiometer. Players can explore 13 vast locations, including all-new breath-taking environments not seen in the film, on this massive journey of collaboration, exploration and the eternal struggle between good and evil. [Sega]",The Golden Compass
Adventure|General|General|,"Nov 12, 2001",26,Magic Lantern,Atari,2.3,E," This game has interesting challenges, awesome movie clips, great music... however the game itself is a little hard. No matter, I think it's alright for a simulated game.",Survivor (2001)
Action|Shooter|Shooter|First-Person|Historic|Historic|Arcade|,"Jul 25, 2006",26,Direct Action Games,Groove Games,3.4,M,"Relive the storied Marine assault that landed foreign troops on Japanese soil for the first time in 5000 years. Scenarios and missions are drawn from actual events. 10 levels of single player campaigns that are full of ambient events such as mortar explosions, overhead aircraft and warning sirens that create a truly immersive experience. Use authentic WWII weaponry including KA-BAR Fighting Utility Knife, M1911 .45 Colt, M1 Garand, M1903A4 Springfield, Browning Automatic Rifle (BAR), M1 Thompson Submachine gun (""Tommy"" Gun), Mk2 Pineapple Grenade and the M2-2 Flamethrower. Multiplayer Action with up to 16 players on Xbox Live, system link or Internet (PC), and 4 player split screen. 10 Expansive Multiplayer Maps. 6 Game types including Deathmatch, Team Deathmatch, King of the Hill, Capture the Flag, VIP Escort, & Last Man Standing. Fully featured bots with adjustable difficulty levels for online, multiplayer and training modes. [Groove Games]",World War II Combat: Iwo Jima
Sports|Team|Soccer|Sim|,"Sep 30, 2021",25,Konami,Konami,1.3,E,"From ""PES"" to ""eFootball™ It all began with the implacable determination to create a revolutionary soccer platform. Our ambition was to recreate the perfect soccer environment, from the grass on the field, to the players' movement, all the way to the crowds in the stadium. To this end, we",eFootball 2022
Action|Shooter|Shooter|First-Person|Sci-Fi|Sci-Fi|Tactical|Arcade|,"Dec  2, 2003",25,Clever's Development,Atari,5.6,T,"Humanity sits on the brink of extinction. The inevitable battle between man and machine has begun. War ravages the land as hardened Tech-Com fighters defend John Connor and others against the mechanized onslaught of the CRS force. This epic cinematic conflict, recreated from the phenomenal Terminator films, places first-person shooter fans at the very center of the uprising. Throughout high-powered multiplayer and single-player missions, combatants fight in apocalyptic landscapes - a decimated downtown Los Angeles, a battered ocean harbor, devastated highways - struggling for survival. Only the strongest will avert catastrophe and save human existence. [Atari]",Terminator 3: War of the Machines
Role-Playing|General|General|,"Jun 26, 2007",25,Quotix Software,Strategy First,3.0,T,"Many years ago, a dimensional portal to the Outer Worlds was suddenly opened, and an enemy from the darkness encroached upon our world. Led by Pompolic, these armies of demonic hordes quickly overran most (but not all) of the planet.The origin of Pompolic is not known, but it is sure that this malevolent spiritual being possesses supernatural power, and his desire is obvious, possess the people and turn them into fellows of his dark army. The evil is spreading its power via his servants; the Dark Souls. These Dark Souls - protected by a horde of monsters - are poisoning the minds of his victims and making them slaves of evil. The denizens of this world are on the edge of total annihilation. However, a little hope still exists in the heart of the remaining citizens. They believe that there are brave hearts who can save the world from the source of the evil power. If the Dark Souls were to be captured, the onslaught would stop, and Pompolic would be defeated; the call for heroes is made...The game is placed in a fantasy world and divided into 12 maps. The player can choose between 2 characters. Each character has unique weapons and different abilities. There are 18 types of monsters, and at the end of the game the chief monster awaits the player. During the journey, the player gains experience which will help him to upgrade his strength, armour and health. [Quotix Software]",Call for Heroes: Pompolic Wars
Strategy|Real-Time|Military|General|,"Apr 29, 2009",25,N-Game Studios,Mezmer Games,4.4,None,"Stalin vs. Martians, as the name suggests, is a game both absolutely ridiculous and over-the-top. Fun and accessible, it takes a simple arcade-like approach to the genre of real-time strategy. The player controls the Red Army as it defends Earth from the Martian Invasion of 1942, the highly classified military operation which even today remains a closely guarded state secret. Stalin himself conducts the mission briefings, and later even becomes a playable unit. The bold leader is duly serious even as he faces the most ridiculous threat the world has ever known. The game itself is far from standard RTS fare; this is not a realistic and deeply strategic war simulation, but a straightforward, fun and light-hearted arcade-style game complete with power-ups falling from conquered foes in the form of bright shiny coins. [Mezmer Games]",Stalin vs. Martians
Strategy|General|General|,"Feb 28, 2006",25,Legacy Interactive,Legacy Interactive,2.4,E,"The Apprentice video game immerses players into the high-stakes business world of ""The Apprentice,"" giving players the opportunity to compete in corporate America's toughest job interview. Players experience the game through the eyes of a hopeful show contestant beginning their journey during the final phases of the audition process and ending with the final boardroom showdown. The game features some of the same ground-breaking elements found in the acclaimed television show: exciting corporate challenges sponsored by real-world corporations, intense boardroom conflict, interpersonal drama and even romance. Featuring Donald Trump, his advisors George and Carolyn, and key contestants from past seasons, ""The Apprentice"" video game appeals to every fan of the show; from those who have the drive and desire to win, to those who just long to hear Trump's fateful words, ""You're Fired!"" [Legacy Interactive]",The Apprentice
Action|Shooter|Shooter|First-Person|Sci-Fi|Arcade|,"Jul  6, 2006",24,Ladyluck Digital Media,Tri Synergy,2.2,T,"Without warning, the world is overrun by an alien invasion. The Earth is in chaos. You are John Armstrong, a medical student drafted in to the National Guard. On a critical mission that may help turn the tide, your team is wiped out. Now success depends on you. Will you rise up to the challenge? [Tri Synergy]",Terrawars: New York Invasion
First-Person|Modern|Action|Shooter|Shooter|Third-Person|Modern|Arcade|,"Dec 21, 2011",24,Running With Scissors,Running With Scissors,3.2,None,"Running With Scissors hits it again! A humor filled, gore packed funride that has tons of gameplay.  The game can be played through on a good or bad path which brings tons of interesting happenings to the game.",Postal III
Role-Playing|Action RPG|,"Oct 19, 2015",24,Codemasters,Codemasters,2.3,None,"This is NOT a bad game! Its just not Overlord 3. The game is a spinoff, not a sequel.. its not perfect, but 10/1 is waaaay too low score for this game.Its different, easier, but fun, Gnarl and evilness is back. And its just 18.99.. clearly not a full Overlord game. Just a spinoff. A pretty good one.",Overlord: Fellowship of Evil
Driving|Racing|Demolition Derby|Arcade|Automobile|,"Dec 13, 2011",23,Team6 Game Studios,Strategy First,3.0,None,"<span class=""blurb blurb_collapsed"">FlatOut 3: Chaos &amp; Destruction brings a new dimension to high speed destruction racing.<br/> <br/>Feel the adrenaline pulse through your veins as you barrel through insane race tracks against monster trucks, race cars, off road vehicles and much more.

FlatOut 3: Chaos &amp; Destruction is demolition</span>",FlatOut 3: Chaos & Destruction
Action|Shooter|First-Person|Sci-Fi|,"May 26, 2006",23,Parallax Art Studio,Reef Entertainment,4.0,None,"Utopia became a ""purgatory"" for its people as it promised to grant them the ability to create their own paradise. In exchange, the Mastermind was allowed to freely scan each person’s emotions, thoughts and feelings. The experiment turned out to be such a success that the Mastermind offered Utopian citizenship to the rest of the non-virtual world. Over time, the experience of Utopia became so popular that its inhabitants eventually outnumbered those remaining in the real world. Thousands of Utopia’s users refused to exit the virtual world. Hoping to gain immortality each inhabitant sought to become a ""digital god"" and create his or her own paradise. The physical world fell apart in their absence. The deterioration of the physical world prompted the government to establish the Department of Anti-Utopian Affairs (AUA), created for the sole purpose of sending elite teams of agents, called Removers, to Utopia. The players have a choice: they may conform to the ways of Utopia and abide by its laws; or, if they figure out how to free themselves, they can attempt to destroy the Mastermind and rescue the other hostages trapped in the great virtual dream. [Reef Entertainment]",Utopia City
Action|Adventure|Interactive Movie|General|,"Nov 23, 2004",23,Digital Leisure Inc.,Digital Leisure Inc.,2.1,T,"Dragon's Lair 3 is the epic all-new adventure of Dirk the Daring which can be played in any device that plays DVDs, including the PS2 and Xbox. The game includes improved graphics, utilizing Toon Shading technology, as well as new characters, challenging levels and three never-before-played bonus scenes. Dirk the Daring, the brave yet bumbling knight, is ready to venture back into the Lair in this adventure! The Evil Wizard Mordroc has again kidnapped the fair Princess Daphne and Dirk is her only hope. Save the princess, defeat Mordroc, and watch out for the treachery that lies at every step. [Digital Leisure]",Dragon's Lair 3
Driving|Racing|Arcade|Mission-based|GT / Street|Automobile|,"Mar 25, 2002",22,Hoplite Research,Ubisoft,2.7,T,None,Hooters Road Trip
General|Adventure|General|,"Nov 14, 2013",22,XeniosVision,XeniosVision,4.5,None,"BlackSoul is a 3rd-person survival horror adventure game with an intriguing story that takes place somewhere in the English countryside: people have been turned into psychotic killers by an unknown infection and you must try to help Ava and Sean survive in the quarantined area and find out the truth about the infection. You won't spend all your time on a killing spree, but you'll need to solve many puzzles which will challenge you. The story is set in England in 1972. Forget any government research labs in which they're working on some kind of ultimate weapon; instead think of something much sadder and crueler...and even if the story is not based on truth, we'll tell you about some events that really happened in the mid century. ",BlackSoul
Action|General|,"Mar 27, 2012",22,Paradox Interactive,Paradox Interactive,2.4,None,"I was hyped for this game, and I was disappointed by the graphics and animations. BUT, this is not a reason to dislike the game. The battles",Gettysburg: Armored Warfare
Strategy|Tycoon|Management|Tycoon|Business / Tycoon|,"Oct 31, 2007",22,City Interactive,City Interactive,2.3,E,"Become the CEO of a beauty products company. Follow your intuition when selecting market offers and make appropriate economic decisions in order to develop your company into an impressive corporation. You will begin by researching several product types - perfume, lipsticks, eyeshadows, nail polish, blush or mascara. The development of ingredients and scent composition are just the beginning. Later on, you will have to take care of appropriate packaging design, positioning and promotion. The sale of your product is the final stage, which will allow you to expand market possibilites of your company. Check how it feels to be a big success in great business. [City Interactive]",Beauty Factory
Sports|Olympic Sports|,"Dec  6, 2011",22,Independent Arts,DTP Entertainment,4.3,E,"50 challenges await winter sports fans. Specially tailored for the Nintendo 3DS, Winter Sports 2012 – Feel the Spirit offers among other things, a new game mode to exploit the new console’s technical capabilities. Like its predecessors in the successful Winter Sports game series, Winter Sports 2012 – Feel the Spirit also has a multiplayer mode where athletes can pit themselves against their friends in the various disciplines.",Winter Sports 2012: Feel the Spirit
Strategy|Real-Time|Historic|General|Command|,"Jul 25, 2013",20,bitComposer Games,bitComposer Games,1.2,None,"In Citadels, the player experiences the Arthurian legend in two campaigns; one fighting on the side of Arthur and the Knights of the Round Table, and the other on the side of Morgana and Mordred.   Citadels tells a spellbinding story in a time of kings, noble knights, and mighty castles. It offers epic battles with extraordinary characters and numerous tactical options.",Citadels
Massively Multiplayer Online|Modern|Role-Playing|Massively Multiplayer|,"Oct 15, 2012",20,Hammerpoint Interactive,Arktos Entertainment,1.7,M,"(Formerly known as ""The War Z"") It has been 5 years since the outbreak, giving rise to a post-apocalyptic nightmare with 95% of the human race wiped out. To survive, you'll require food, weapons, and other supplies. Some of you will scavenge as you negotiate the terrain, others will be forced to fight for survival as they encounter zombies and other players. Every decision has an effect on whether you live or how quickly you meet your death.",Infestation: Survivor Stories (The War Z)
Action Adventure|Adventure|Third-Person|Open-World|Modern|Modern|,"Mar 31, 2009",20,Team17,Funsta,2.1,M,"The Leisure Suit Larry: Box Office Bust video game gives gamers an all-access pass to the glitz, glamour and gorgeous women of Tinseltown. In this 3rd person adventure game, Larry takes a summer job working on his uncle Larry’s movie lot doing odd jobs and trying to uncover a mole from another studio who threatens to air the studio's dirty laundry in the tabloids. Leisure Suit Larry: Box Office Bust is a rollicking, innuendo-laden lampoon of Hollywood that features open world sand box game play that includes exploration, platforming, racing and puzzle-solving to complete missions.  Additionally, the game features an all-new Directors Game that allows the player to create their very own ""Larry Feature."" True to form, Leisure Suit Larry Box Office Bust features sophomoric comedy and bombshell babes thanks to the writing talents of Allen Covert and an All-Star cast of actors and actresses, including Jay Mohr, Dave Attell, Shannon Elizabeth, Carmen Elektra, Patrick Warburton, Jeffrey Tambor, Nikki Cox, Peter Graves, Jane Lynch and Josh Keaton as the voice of Larry Loveage. [Sierra Entertainment]",Leisure Suit Larry: Box Office Bust
Horror|Action Adventure|Survival|,"Jun 11, 2015",19,Pure FPS,Atari,1.3,None,"I love to play alone in the dark because i can play horror games at night and my room is dark. But, the games has a huge twist when there is light in the dark, illuminating the surroundings so there is contrast between light and dark, two polar opposites.",Alone in the Dark: Illumination
Action|Shooter|Shooter|First-Person|Historic|Historic|Arcade|,"Feb 18, 2003",19,Anivision,Activision Value,6.6,T,"The action and drama of the American Civil War comes to life in this new game from the creators of ""Gods & Generals."" The outcome of the war that divided a nation, split families and changed the course of history is now up to you! You're a Company Commander on the front line of the bloodiest battle ever fought. Crucial decisions will impact the lives of thousands of men, so make sure your battle plan is airtight! Musty, death-filled air surrounds you at Bull Run or... feel the bitter cold of Fredricksburg as Gods and Generals puts you in actual battlefield settings as you fight to ""Preserve the Union"" or ""Save the Confederacy""! [Activision Value]",Gods and Generals
Action|Shooter|Shooter|First-Person|Modern|Modern|Arcade|,"Jul 18, 2003",18,Jarhead Games,ValuSoft,8.0,M,"Wage a silent, deadly war on terrorism. Your SEAL team has its lethal counter-terrorism objectives. Secretly penetrate international hot spots from the sea, air and land to carry out your assigned missions. Survive dangerous operations using your combat training and stealth to neutralize this threat forever. [ValuSoft]",Navy SEALs: Weapons of Mass Destruction
Role-Playing|First-Person|First-Person|Western-Style|,"Jul 29, 2013",18,Crafty Studios,The Role Playing Company,3.0,None,"Developed by Austrian developer Crafty Games, Realms of Arkania - Blade of Destiny is a one-to-one remake of the 1992 original, adored by a generation of Role Players and one of the most successful German RPG's of the 1990's. Get ready to return to Thorwal, one of the oldest cities of Aventurien. Make sure your wits are sharpened before walking down the small alleys of Thorwal and Prem, and prepare to stop the Orcisch threat while creating a mighty alliance between nations. ",Realms of Arkania: Blade of Destiny Revised
Driving|Modern|Racing|Motorcycle|Motocross|Modern|Action Adventure|General|,"Jun 24, 2013",16,Eutechnyx,Deep Silver,1.4,M,"The game is set in the last years of the roaring 1960s, a time of sex, drugs and rock 'n' roll. The biker movement, rock music and the hippie counterculture all add to the fascinating atmosphere to be experienced in Ride to Hell. Action-loaded from the very start with free roaming environments, players can immerse themselves in the liberty and freedom of riding full throttle with their gang on a multitude of different vehicles through the dusty flats of Western America. Protecting their turf, their brothers and their machines from rival gangs is just a taste of what this epic game involves. Ride to Hell is not for the faint-hearted; it's aimed heavily at the player who wants to become fully involved in the original West Coast biker culture. With its hard drinking, bare-knuckle environment, this is as close to the action as you can get. [Deep Silver]",Ride to Hell: Retribution
Sports|Individual|Nature|Hunting|Hunting|,"Nov  8, 2004",16,"Speedco Shooting Sports, Inc.","Speedco Shooting Sports, Inc.",1.6,T,"NRA Varmint Hunter is an exciting new game for the hunting enthusiast combining the expertise of Speedco Shooting Sports ""developer of Xtreme Accuracy Shooting"" and the broad knowledge and educational base of the National Rifle Association. The game features a very high degree of realism and education in the craft of long range shooting, and the boundless enjoyment of the fastest growing hunting sport in the USA. It's all there for your enjoyment with the NRA Varmint Hunting game. [Speedco]",NRA Varmint Hunter
Driving|Racing|Simulation|Truck|Truck|Automobile|,"Nov 20, 2003",8,Stellar Stone,GameMill Publishing,4.1,E,"Get ready for some brake jamm'in, CB talk'in, convey roll'in action acoss America! From Portland Oregon to Miami Florida, you'll be hauling loads and trying to stay one step ahead of the law as you climb into your Big Rig for non-stop driving action. And if that's not enough, you'll also be able to race your modified Rig on one of 5 different tracks for the ultimate driving rush as you crush the competition and set a new track record!",Big Rigs: Over the Road Racing
Action|Shooter|Shooter|First-Person|Historic|Historic|Arcade|,"Feb 26, 2008",39,Spark Unlimited,Codemasters,4.5,T,"The game supposes that the incident in which a car struck Winston Churchill in New York on December 13th 1931 actually proved fatal – and that without his inspirational speeches to galvanise the Allies, the course of the Second World War took a very different route, with the Axis Powers even invading America.",Turning Point: Fall of Liberty
Action|Shooter|Shooter|Third-Person|Modern|Modern|Arcade|,"Jan 17, 2006",39,Ritual Entertainment,Eidos Interactive,5.1,M,"25 to Life is the game the streets have been waiting for. Play as either cops or gangsters in this urban third person shooter. The game delivers intense Online gameplay for up to 16 players, as well as a rich single player experience. Set in the heart of today's cities, experience the gritty lifestyles of police task forces or as a gangster survive the local neighborhood thugs while fighting your way up the inner sanctum of the drug lord's mansion, your knowledge of the streets will be put to the test because...25 to Life IS the streets! [Eidos Interactive]",25 to Life
Role-Playing|Action Adventure|General|Action RPG|,"Mar 29, 2022",39,Four Circle Interactive,Sold Out,tbd,None,"<span class=""blurb blurb_collapsed"">Abermore is a first-person stealth RPG where players adopt the mantle of ""The Unhanged Man"", a legendary Robin Hood-esque figure in the strange and surprising city of Abermore, during the 18 days in a run up to a daring heist.<br/><br/>Every campaign is unique, daisy chaining together robberies,</span>",Abermore
Action|Miscellaneous|Fighting|Party / Minigame|2D|,"Sep 10, 2020",39,Dark Screen Games,Fig Publishing,tbd,None,"Bounty Battle is the indie fighting game -- a new multiplayer 2D fighting game, where you can square off as your favorite indie hero against other indie heroes from games like Guacamelee!, Darkest Dungeon, Dead Cells, and Psychonauts 2 among other awesome indies. The game features more than 30 character, each with their own companion Minion and unique abilities. It's Super Smash Bros. meets indie games where you battle across levels inspired from indie game worlds with up to 4 players.",Bounty Battle
Action|Miscellaneous|Trivia / Game Show|Rhythm|Music|,"Nov 18, 2003",39,Hothouse Creations,Codemasters,3.3,E,"Experience the life of an American Idol contestant as you compete against other performers and face the judge?s praise and criticism. Make it to the final round and you can become an American Idol! Then, capture your performance on video, where you can post it on-line for the world to vote you #1. Do you have what it takes to be a superstar? [Viveni Universal]",American Idol
Action|Shooter|Shooter|First-Person|Modern|Modern|Arcade|,"Nov 11, 2004",39,City Interactive,Merscom LLC,3.9,T,"Steeped in today's headlines with vivid 3D environments and powerful special effects, Terrorist Takedown is nonstop military action. Take control of AH-64 and UH-1 helicopters, operate High-Mobility Multipurpose Wheeled Vehicles (HMMWVs), and fire heavy machine guns, rocket launchers, and more as you strike at known terrorists and their sponsors. In 16 heart-pounding missions, you must defeat the terrorists and protect our homeland. To honor those men and women fighting the real war, 5% of the profits from the sale of each copy of the game will be donated to the Special Operations Warrior Foundation (SOWF). This very special charity pays tribute to those fallen Special Operations personnel by providing college scholarship grants to their surviving children. [Merscom]",Terrorist Takedown
Role-Playing|Action RPG|,"Mar  5, 2019",39,Void Studios,1C Entertainment,5.4,None,"<span class=""blurb blurb_collapsed"">I just loved this indie game.<br/> <br/>I have read several comments about the game, some positive and some negative but being very honest, it has</span>",Eternity: The Last Unicorn
Adventure|General|,"Apr 16, 2015",39,Rosebud Games,Rosebud Games,3.3,None,None,House of Caravan
Adventure|3D|First-Person|Modern|,"Jul 25, 2014",39,Creability,Creability,5.6,None,"<span class=""blurb blurb_collapsed"">Be patient, take this game easy. Want the acid trip? Play it. You don't want? Don't play it. It's that simple.<br/> <br/>(And you don't want the</span>",Only If
Action|Strategy|Shooter|Real-Time|General|First-Person|Command|Modern|,"Aug 25, 2009",39,Atomic Motion,Evolved Games,3.1,T,"Raven Squad puts players in control of two groups of mercenary squads who crash land behind enemy lines in the Amazonian jungles. It requires tactical planning and a liberal amount of brute force to escape to safety. Each of the eight squad members possesses distinctive skills and weaponry that the player has to use wisely to progress through the game's story driven objectives. Raven Squad sets itself apart by allowing players to switch freely between real-time strategy and first-person shooter gameplay. Only by mastering both of these modes of play, and becoming adept at switching between the two, can players make it out of the jungle alive. [SouthPeak Games]",Raven Squad: Operation Hidden Dagger
Adventure|General|General|Point-and-Click|,"Sep 12, 2007",39,S&G Software,Got Game Entertainment,4.2,E10+,"In the role of Dr. Nico N, an expert in ancient civilizations, you are beckoned to AnaCapri, a place of beauty, lore, and mystery. Here, you must find the Black Obsidian Disk - an ancient artifact once believed lost to the ages. Legends speak of the Disk possessing untold power and a malevolent past. As fear of the Disk grips AnaCapri and its people, you search the island, from the mesmerizing depths of the Blue Grotto to the panoramic gardens of Villa San Michele. But will you find the Disk and uncover its secrets...before it's too late? [Got Game Entertainment]",AnaCapri: The Dream
Action|General|General|Shooter|Third-Person|Arcade|,"Jan  8, 2013",39,DNS Development,DNS Development,4.5,None,"<span class=""blurb blurb_collapsed"">Due to a chemical known as pharGONe, the world has been turned upside down. Battle your way through multiple levels,<br/>earning upgrades, competing against your friends and more, and find the truth about what has happened to the world.<br/>
Use a variety of weapons to stop the mutated</span>",Primal Fears
Adventure|3D|First-Person|,"Oct 13, 2020",39,Stormind Games,Modus Games,6.7,M,"I LOVED this game!! I was already a fan of the saga, so I obviously bought it as soon as it was out... And yes, it didn't start the best way",Remothered: Broken Porcelain
Strategy|Tycoon|Tycoon|,"Sep 11, 2006",39,Anarchy Enterprises,Tri Synergy,4.7,E,"Coffee Tycoon lets gamers build a coffee empire. Starting fresh with one store, players customize their coffee business by giving it a name and choosing a logo and store design. From there, they'll choose a city to start their coffee empire, maybe New York or L.A., or if they're really daring, the coffee capital of the world: Seattle!",Coffee Tycoon
Driving|Racing|Simulation|Rally / Offroad|Rally / Offroad|Automobile|,"Sep 23, 2008",39,Razorworks,Empire Interactive,4.0,E,"(Also known as ""Off Road"")  Take racing to extreme off road terrain with Land Rover and Ford. Race powerful 4x4’s, trucks and concept vehicles across desert, water and ice in your bid to be first past the finish line. With 12 distinct race types, real-time damage repair and sweeping tracks designed for aggressive, rough-tough racing, Off Road is an adrenalin-pumping, high-speed racing experience. 18 officially licensed Land Rover and Ford off road vehicles. 12 distinct race types. 24 detailed tracks. 3 beautifully detailed off road environments. Real time, on-the-go damage repair. Pick up and play handling. Discover hidden routes. Power sliding - throw powerful 4x4’s around the tracks. In-game pickups: Discover repair pods, time extensions, artifacts & cash. Multi-player racing via split screen (PS2) and Wi-Fi (PSP – 6 player). [Xplosiv]",Ford Racing: Off Road
