genres,release_date,rating,publisher,metascore,developer,title,userscore,summary
Racing|Arcade|Futuristic|,"Mar  4, 2022",T,Sometimes You,50,AbstractArt,Music Racer: Ultimate,tbd,"Now you can race your own music. Music Racer is the dynamic rhythm game loved by millions of players around the world. The new ""Ultimate"" version allows you to use your own music in the game via a WebDAV server (from a computer or smartphone), as well as play to music published on the Audius"
Action|Action Adventure|Shooter|Linear|Shoot-'Em-Up|Top-Down|,"Jan 20, 2022",T,Blowfish Studios,48,Drakkar Dev,Blackwind,tbd,"Blackwind is a hack n slash shooter platformer sci-fi action game that puts you against hordes of enemies and frantic battles in a desperate attempt to stop a planetary invasion. The Raknos hordes are raging the planet Medusa-42, a small human mining colony. When the starship “Pandora” is shot down, James Hawkins finds himself trapped inside a military Battle Frame prototype. He’ll have to discover its powers to survive the alien forces in different planet locations while searching for his father."
Action|Platformer|3D|,"Mar 26, 2021",E10+,Square Enix,47,Square Enix,Balan Wonderworld,7.2,"BALAN WONDERWORLD is an action platformer game themed around the Balan Theatre. Led by the enigmatic maestro named Balan, the stars of the show Emma and Leo will use special abilities from a multitude of characterful costumes as they adventure in the bizarre and imaginary land of Wonderworld. Here memories and vistas from the real world mix with the things that people hold dear. Twelve different tales await our stars in the Wonderworld, each with their own unique quirks. They will explore all corners of these labyrinthine stages, filled with a myriad of tricks and traps, to get to the heart of each story."
Action|Shooter|First-Person|Tactical|,"Feb 10, 2022",M,Smilegate,39,Smilegate,CrossfireX,3.2,CrossfireX delivers an intense first-person shooter experience where players are immersed in a sprawling global conflict between the world's two most formidable private military factions: Global Risk employs veterans of powerful armed forces who use advanced technologies to fight for order and security; Black List employs hardened mercenaries trained in guerilla tactics who fight to destabilize oppressive regimes in the name of freedom. Choose your side and complete objective-based missions across a variety of classic and innovative modes featuring tightly crafted gameplay and cinematic visuals.
Simulation|Adventure|General|Space|Civilian|,"Nov 18, 2021",None,Future Friends Games,77,Exbleative,Exo One,6.9,"A strange signal… an alien craft… Exo One is an interplanetary, gravity-defying journey through space and time. Master a truly alien traversal system and move through enigmatic and desolate landscapes in ways you’ve never experienced. Use gravity and momentum to reach colossal speeds and exhilarating heights."
Action Adventure|Open-World|Role-Playing|Action RPG|,"Jun 25, 2021",T,Bandai Namco Games,77,Bandai Namco Games,Scarlet Nexus,7.9,"Assume the role of Yuito Sumeragi, a new recruit to the OSF aiming to become an elite psionic like the one who saved him as a child. Armed with a talent in psycho-kinesis, explore the futuristic city of New Himuka and uncover the mysteries of a Brain Punk future caught between technology and psychic abilities in SCARLET NEXUS. Using psycho-kinetic abilities, the world around you becomes your greatest weapon. Lift, break and throw pieces of your environment to build your attack combos and lay waste to your enemies. Deranged mutants that descended from the sky, highly resistant to conventional attack methods and defenses. Tormented by the constant pain of their mutation, they seek brains of living organisms to calm their madness. Explore and protect a futuristic Japanese landscape that combines inspirations from classic anime and western science fiction. Dive into a complex story of bonds, courage and heroism crafted by minds behind the iconic Tales of Vesperia."
Action|Shooter|First-Person|Arcade|,"Mar 25, 2022",T,2K Games,77,Gearbox Software,Tiny Tina's Wonderlands,6.5,"Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry! Bullets, magic, and broadswords collide across this chaotic fantasy world brought to life by the unpredictable Tiny Tina, who makes the rules, changes the world on the fly, and guides players on their journey. Customize your own multiclass hero and loot, shoot, slash, and cast your way through outlandish monsters and treasure-filled dungeons on a quest to stop the tyrannical Dragon Lord. Everyone's welcome, so join the party, throw on your adventuring boots, and be Chaotic Great!"
Action|Fighting|2D|,"Mar 16, 2021",None,Deep Silver,77,SNK Corporation,Samurai Shodown: Special Edition,6.5,"SAMURAI SHODOWN has enjoyed worldwide success as a blade-wielding fighting game series since its first release in 1993. 11 years have passed since the last series installment, and it is now time for SAMURAI SHODOWN to return in a brand-new game featuring high-end visuals and gameplay!"
Puzzle|Action|Platformer|2D|,"Apr  7, 2022",E,Atari Games,77,Graphite Lab,Kombinera,tbd,"<span class=""blurb blurb_collapsed"">Control multiple colored balls simultaneously in this brain-bending puzzle platformer. It's up to you to combine every ball and complete each perilous level. Can you solve them all? Can you save King Kombine from the Kave of Kaos?<br/> <br/>Core Features:
-Progress through 300 increasingly complex</span>"
Miscellaneous|Compilation|,"Oct  5, 2021",E10+,Sega,77,Sega,Super Monkey Ball: Banana Mania,7.5,"Go Bananas with your favorite monkey gang in the ultimate Super Monkey Ball adventure. Roll through wondrous worlds with AiAi and friends as you race to stop monkey mad scientist Dr. Bad-Boon from blowing up Jungle Island! Join the all-star monkey team of AiAi, MeeMee, GonGon, Baby, YanYan"
Action Adventure|Survival|,"Feb  4, 2022",M,Techland,77,Techland,Dying Light 2 Stay Human,4.6,"THE FATE OF THE CITY IS IN YOUR HANDS It's been 15 years since humanity lost to the virus. The last great human settlement exists within an unforgiving, infected world, plunged into a modern dark age. During the day, bandits, factions and starving survivors roam the streets scavenging for"
Racing|Simulation|Automobile|,"Apr 22, 2021",None,Koch Media,77,Milestone S.r.l,MotoGP 21,tbd,"Discover all the official rosters and tracks and experience the thrill of the 2021 Season. And if you want to dive into the past, you can relive the MotoGP™ history with more than 40 riders and their iconic bikes. Take critical decisions and find a winning strategy to take over the"
Action Adventure|Survival|,"Apr 28, 2021",None,Frogwares,77,Frogwares,The Sinking City,8.1,"The Sinking City is an action/investigation game set in an open world inspired by the universe of H.P. Lovecraft. In this new type of adventure, you take on the role of Charles W. Reed, an investigator in the 1920s United States. No sooner have you arrived in Oakmont, Massachusetts, than you"
Action|General|Beat-'Em-Up|3D|,"Jul 29, 2021",M,South East Games,77,South East Games,Paint the Town Red,tbd,"Paint the Town Red is a chaotic first person melee combat game set in different locations and time periods and featuring a massive Rogue-Lite adventure. The voxel-based enemies can be punched, bashed, kicked, stabbed and sliced completely dynamically using almost anything that isn't nailed"
Action|Shooter|First-Person|Tactical|,"Nov 13, 2020",M,Activision,76,Raven Software,Call of Duty: Black Ops Cold War,3.5,"Black Ops Cold War will drop fans into the depths of the Cold War's volatile geopolitical battle of the early 1980s. Nothing is ever as it seems in a gripping single-player Campaign, where players will come face-to-face with historical figures and hard truths, as they battle around the globe"
Sports|Team|Basketball|Sim|,"Sep 10, 2021",E,2K Games,76,Visual Concepts,NBA 2K22,3.9,"Enjoy competitive gameplay, online features, and a variety of game modes, including myCAREER, as you put together your dream team in this  basketball video game. A WORLD OF BASKETBALL. NBA 2K22 puts the entire basketball universe in your hands. PLAY NOW in real NBA and WNBA environments against authentic teams and players. Build your own dream team in MyTEAM with today’s stars and yesterday’s legends. Live out your own pro journey in MyCAREER and experience your personal rise to the NBA. Flex your management skills as a powerful Executive in MyGM and MyLEAGUE. Anyone, anywhere can hoop in NBA 2K22."
Action Adventure|Adventure|3D|Open-World|Third-Person|,"Dec 14, 2021",T,Microids,76,Revolution Software,Beyond A Steel Sky,tbd,"<span class=""blurb blurb_collapsed"">You are Robert Foster. A child has been abducted in a brutal attack. You have vowed to bring him home. The trail has led you to Union City, one of the last remaining mega-cities in a world ravaged by shattering wars, and political meltdown.<br/><br/>Union City is a utopia, its people loving life</span>"
Role-Playing|Action RPG|,"Nov 10, 2020",None,Nacon,76,Games Workshop,Warhammer: Chaosbane,6.3,"In a world ravaged by war and dominated by magic, you are the last hope for the Empire of Man against the Chaos hordes. Playing solo or with up to 4 in local or online co-op, choose a hero from 4 character classes with unique and complementary skills, and prepare for epic battles wielding"
Action Adventure|Adventure|General|3D|Open-World|First-Person|,"Nov 16, 2021",M,Frogwares,75,Frogwares,Sherlock Holmes: Chapter One,6.7,"Amazing Graphics. Great Gameplay. Tight Mechanics. Overall one of the BEST Sherlock games so far. You get to see a younger more cocky Sherlock. The Detective Mechanics are fleshed out & refined. A pleasure to play. If you have enjoyed the other Sherlock games, then you will definitely enjoy this entry to the series. If you got the time pick it up & play today!!"
Action|Platformer|3D|,"Nov  4, 2021",E10+,Fabraz,75,Fabraz,Demon Turf,tbd,"The Demon World is inhabited by all kinds of nasties... Most of them lumped into gangs battling for dominion, each led by its own head honcho. Yet even these bad dudes are no match for the Demon King himself! Instead, the task falls to Beebz, a young demon barely a thousand years old, who decides it’s time for her to kick every turf leader’s butt and become the Demon Queen herself."
Adventure|3D|First-Person|,"Dec  8, 2020",T,Raw Fury,75,"Out of the Blue, Inc.",Call of the Sea,7.4,"A weird tale of otherworldly mystery. Call of the Sea is a first-person adventure puzzle game set in the 1930s that tells the story of Norah, a woman on the trail of her missing husband's expedition. The search takes place on a strange but beautiful island in the South Pacific, filled with secrets waiting to be unearthed. It is an otherworldly tale of mystery, adventure, and self-discovery."
Action Adventure|Linear|,"Jul  1, 2021",None,Clever Plays,75,Clever Plays,Operation: Tango,tbd,None
Adventure|3D|Third-Person|,"Mar 10, 2022",E,Uppercut Games Pty Ltd,75,Uppercut Games Pty Ltd,Submerged: Hidden Depths,tbd,"<span class=""blurb blurb_collapsed"">A drowned city, crumbling tips of skyscrapers stubbornly standing above the waves. Deserted villages, now inhabited by enigmatic creatures. And beneath the surging ocean waits an anguished, angry presence.<br/>Submerged: Hidden Depths is a non-combat third-person “relaxploration” adventure, set</span>"
Action|Shooter|Shoot-'Em-Up|Top-Down|,"Jun 29, 2021",E10+,Maximum Games,75,Only By Midnight,Curved Space,tbd,None
Adventure|General|3D|Third-Person|,"Mar 24, 2022",None,Annapurna Interactive,75,Cloisters,A Memoir Blue,7.8,"Games like this is why I consider gaming to be the ultimate form of art. There isn't a single word spoken during the game, but you still feel every emotion. A Memoir Blue is about a mother and her daughter's relationship and how they drifted apart. I liked how the game approached this topic in a respectful manner because most of the time our parents have no choice in what happens to us and they try their hardest to do what they think is best for us, but as children, sometimes all we need is for them to be with us. Also, the game had some very good original songs and I was very impressed by them. Finally, this game is similar to Pome in that it is short yet has a significant impact."
Racing|Arcade|Automobile|,"Nov 30, 2021",E,Milestone S.r.l,75,Milestone S.r.l,MXGP 2021 - The Official Motocross Videogame,tbd,"All the tracks, all the riders, all the official bikes to fully experience the true emotions of this season. All of them, from the last corner to the first position. Your race to become number 1 is even more realistic and exciting. A renovated career path where your every decision will be crucial. Relive the emotions of Ottobiano, Ernée, Leon and Agueda: 4 of the most celebrated tracks of past editions. History is ready to be rewritten… and become legend."
Racing|Arcade|Automobile|,"Mar 30, 2022",E10+,PikPok,75,PikPok,Agent Intercept,tbd,"Take control of the Sceptre - a slick, souped-up, transforming vehicle outfitted with the latest spy gadgets - to drive, drift, and defy death across land, air, and sea. Feel like a superspy, saving the day again and again from threats inspired by the best action and spy fiction, then"
Strategy|Turn-Based|General|,"Oct 21, 2021",None,Cococucumber,75,Cococucumber,Echo Generation,7.6,"Fantastic game! I saw this game with a small download size on game pass and thought I'd give it ago and didn't think much of it. And now I'm enjoying it more than most triple A games out there. It's so much fun and unique and smart and it looks fantastic!! The progression and mini game and writing and story and mechanics, all fantastic! I'm surprised that a small game like this is as fun as 60$ games and even more. I always loved games to be more simple and straightforward than complicated and convoluted. I spent 7 hours playing in one sitting and I almost never do that, I haven't done that in years. This game is insanely fun and unique. And I will definitely be looking for what the devs release in the future."
Racing|Arcade|Automobile|,"Aug 24, 2021",None,Nacon,75,RaceWard Studio,RiMS Racing,6.8,"As a motorbike enthusiast who loves gaming, we get a few regulars like Ride, Moto GP and the more recent TT games which come along and all do"
Racing|Simulation|Arcade|Automobile|,"Mar 14, 2022",E,Milestone S.r.l,74,Milestone S.r.l,Monster Energy Supercross - The Official Videogame 5,1.8,"Enjoy all new customization possibilities with our enhanced Track Editor, and give a boost to your creativity! Mix and match pre-existing modules with the brand new Rhythm Section Editor, to design complex prefab track sections, ready to be shared with the Community. Creating amazing jumps has never been easier. Bring the challenge to a whole new level of fun with the new Split Screen Mode, for exciting Multiplayer challenges to race shoulder to shoulder with your friends on the couch! And when the couch is not enough, compete in exciting races online against the whole world. "
Sports|Team|Soccer|Sim|,"Dec  4, 2020",E,Electronic Arts,74,Electronic Arts,FIFA 21,1.4,"On the street and in the stadium, FIFA 21 has more ways to play than ever before.  FIFA 21 rewards you for your creativity and control all over the pitch. Create more scoring opportunities with all-new dynamic attacking systems in the most intelligent FIFA gameplay to date. A new Agile Dribbling system gives you the means to unleash your creativity in 1-on-1 situations. Use fast footwork, more responsive close control, and new skill moves like the ball roll fake to explode past defenders. In FIFA 21, increased positional awareness elevates footballers’ in-game intelligence to put them in the right place at the right time. See world-class forwards hold their runs in line with the last defender, creative playmakers find space to play through balls, and midfielders shut off passing lanes as players better live up to their real-world understanding of space and time on the pitch. [Electronic Arts]"
Action Adventure|General|,"Sep 17, 2021",M,Merge Games,74,Lince Works,Aragami 2,4.7,Its a a great game it just came out and it has some bugs that are probably going to be fix in a couple of months but if you like stealth games or fighting with a sword your going to love it
Action|Shooter|First-Person|Tactical|,"Nov  5, 2021",M,Activision,74,Sledgehammer Games,Call of Duty: Vanguard,4.7,"This is WWII combat like never before. Witness the origins of Special Forces as you play a pivotal role and change the face of history, forming Task Force One in a gripping Campaign across four major theaters of war. Become an original Special Forces Operator in an online Multiplayer rich in innovation with 20 maps available at launch. Prepare for a franchise-first, universe-expanding Zombies crossover. Immerse yourself in a fully integrated Call of Duty®: Warzone™ experience featuring a new and massive map. This is the most connected Call of Duty ever, all powered by the next generation Call of Duty® engine introduced in Modern Warfare."
Action Adventure|Open-World|,"Nov 10, 2020",M,Ubisoft,74,Ubisoft,Watch Dogs: Legion,6.2,"In the near future, London is facing its downfall: the people are being oppressed by an all-seeing surveillance state, a corrupt private military corporation controls the streets, and a powerful crime syndicate is preying on the vulnerable. The fate of London lies with you, and your ability"
Role-Playing|Roguelike|,"May  3, 2022",T,SUPERHOT PRESENTS,74,straka.studio,Loot River,tbd,"<span class=""blurb blurb_collapsed"">Great potential - awful execution.<br/> <br/>Loot River has a fun idea with it's puzzle combat hybrid but just now the game feels like it's still in</span>"
Adventure|General|,"Aug 31, 2021",None,Skybound Games,74,Mighty Yell,The Big Con,tbd,"Hustle through the 90s in THE BIG CON, an adventure game where you're an awkward teen hustling to save her family video store from gangsters. Play as Ali, a high school junior gone AWOL from band camp to seek revenge on the loan sharks that threaten her mom's video store. (Fighting with your mom is YOUR job. No one else gets to do that.) Maybe you'll profit from the latest collectible plushie craze, and make an interesting friend or two along the way."
Action Adventure|General|,"Sep 10, 2021",E10+,Electronic Arts,74,Zoink!,Lost in Random,7.8,"Play the odds in Lost in Random™, a gothic fairytale-inspired action adventure where every citizen’s fate is determined by the roll of a dice. Ruled by a wicked Queen, the kingdom of Random is divided into six shadowy realms where life is dictated by a cursed black dice. In this story, from the award-winning Swedish game studio Zoink and penned by Eisner Award-winning Adventure Time and Marvel Comics The Unbeatable Squirrel Girl author Ryan North, you’ll join Even, a penniless girl who’s down on her luck, in a dark quest to save her beloved sister. With her companion Dicey, a small and strange living dice, Even must learn to embrace the chaos of Random, uncovering an age-old tale with a modern message. Walk Random’s mysterious cobbled streets, meet its unpredictable residents, and take on courageous quests. Engage in fearsome battles with a unique blend of tactical combat, card collection, and explosive dice gameplay. It’s time to adapt or perish, as you battle inside giant board game arenas that change with every dice throw! Learn how to tip the odds in your favor, and dive into a dark wonderland where only the brave survive."
Action Adventure|Open-World|,"Mar 10, 2022",M,Ubisoft,74,Ubisoft Sofia,Assassin's Creed Valhalla: Dawn of Ragnarok,8.0,"In the most ambitious expansion in franchise history, Eivor must embrace their destiny as Odin, the Norse god of Battle and Wisdom. Unleash new divine powers as you embark on a desperate quest through a breathtaking world. Complete a legendary Viking saga and save your son in the face of the gods’ doom."
Action|Shooter|First-Person|Arcade|,"Oct  7, 2021",M,Warner Bros. Games,74,Turtle Rock Studios,Back 4 Blood,6.3,Fantastic game! Just mindless fun either solo or with friends. Highly recommended especially if you're subscribed to Xbox Gamepass console or PC. Makes for great zombie killing fun and feels like a love letter to Left 4 Dead fans.
Action|Shooter|First-Person|Tactical|,"Jun  4, 2021",M,CI Games,74,CI Games,Sniper Ghost Warrior Contracts 2,7.2,"Sniper Ghost Warrior Contracts 2 marks the most challenging entry to the acclaimed series yet, introducing extreme long-range sniping with targets over 1000m away. Featuring a dramatic single-player campaign set in modern day Middle East, experience high-pressure tactical combat, deep inside"
Action|Platformer|2D|,"Dec  7, 2021",T,Headup Games,74,Monokel,White Shadows,5.4,"Nice piece of art and good experience! I'm a casual gamer with an overal interest in computer games. This game offers an outstanding story, a deep atmosphere and a nice mix of cultural references that makes it very unique and entertaining. Just fun."
Action Adventure|Survival|,"Oct 22, 2021",M,Bandai Namco Games,74,Supermassive Games,The Dark Pictures Anthology: House of Ashes,8.0,"<span class=""blurb blurb_collapsed"">From the creators of Until Dawn<br/><br/>Switch between the perspective of 5 playable characters - All can live or die in your version of the story

Multiple ways to play including 2 player online coop mode

Hugely branching storyline that changes based on the decisions you make

Each game in The</span>"
Action Adventure|General|,"Aug 31, 2021",T,Escape,74,Escape,Song of Iron,7.0,"Behind you lies a trail of broken helms, shattered shields. You hold the axe of a fallen foe. Worn and dented, it will suit it's purpose. What lies ahead is still a mystery, your goal is not. To save your people you must find the Great Temple of the Gods, but do not expect a warm welcome."
Sports|Team|Ice Hockey|Sim|,"Oct 12, 2021",E10+,Electronic Arts,74,Electronic Arts,NHL 22,4.5,"Powered by Frostbite, EA SPORTS™NHL®22 gets the superstar treatment. For the first time ever, experience EA SPORTS NHL on one of the industry’s most powerful game engines bringing visual detail to every hit, deke and shot. Superstar X-Factors lets you feel the personality and power of NHL superstars with an all-new ability system that unlocks the unique skills of the league’s most elite players. Authentic to real player skill and style, the stars of the NHL truly come to life in EA SPORTS NHL 22 making their time on ice more influential than ever . From HUT to World of Chel, Superstar X-Factors brings new class based strategy to every game mode. EA SPORTS NHL 22is an all new game for a new generation, giving you more ways to play and compete than ever before."
Strategy|Management|Business / Tycoon|,"Nov  9, 2021",T,Frontier Developments,74,Frontier Developments,Jurassic World Evolution 2,6.3,"Jurassic World Evolution 2 is the sequel to Frontier’s Jurassic World Evolution, building upon the 2018 management simulation. It introduces a compelling, new narrative campaign, incredible new features, and awe-inspiring new dinosaurs brought to life with captivating authenticity. Together"
Simulation|Vehicle|Combat|,"May 27, 2021",T,Piranha Games,74,Piranha Games,MechWarrior 5: Mercenaries,6.3,"At first I wasn’t sure about the game, but after a few hours in I can safely say it feels like Mechwarrior again. Really hoping they bring back the old games in some remastered form, but this will do just nicely. Very much enjoying it."
Action|Shooter|Third-Person|Arcade|,"Apr  1, 2021",M,Square Enix,73,People Can Fly,Outriders,7.1,"Outriders is a 1-3 player co-op RPG shooter set in an original, dark and desperate sci-fi universe. As mankind bleeds out in the trenches of Enoch, you'll create your own Outrider and embark on a journey across the hostile planet. With rich storytelling spanning a diverse world, you'll leave behind the slums and shanty towns of the First City and traverse forests, mountains and desert in the pursuit of a mysterious signal. Combining intense gunplay with violent powers and an arsenal of increasingly twisted weaponry and gear-sets, Outriders offers countless hours of gameplay from one of the finest shooter developers in the industry People Can Fly."
Action Adventure|Open-World|,"May 13, 2021",None,Ubisoft,73,Ubisoft Bordeaux,Assassin's Creed Valhalla: Wrath of the Druids,7.4,"Perfectly fine DLC, why some people hate on it? Because it wasn't extremely special? What did you even expect at this point? Some miracle? It adds more story, more locations, nice graphics, more enemies. It's solid."
Racing|Arcade|Automobile|,"Feb 25, 2022",E10+,Electronic Arts,73,Codemasters,GRID Legends,6.3,"GRID Legends is for the racing thrill-seekers, delivering thrilling wheel-to-wheel motorsport and edge of your seat action around the globe. Create your dream motorsport events, hop into live multiplayer races, be part of the drama in an immersive virtual production story, and embrace the"
Action Adventure|General|,"May  5, 2022",None,Devolver Digital,73,Flying Wild Hog,Trek to Yomi,6.6,"Trek to Yomi is an ultra-stylised cinematic action-adventure that follows an enthralling story of Hiroki during his fall against the forces of evil. Experience his heroic return to make good on his failed promise to save the people he swore to protect. As a vow to his dying Master, the young"
Simulation|General|,"Nov 22, 2021",E,Giants Software,73,Giants Software,Farming Simulator 22,6.5,"Cultivated to be bigger and better the ultimate and multimillion selling farming simulation returns this November! Farming Simulator 22 offers more depth and the highest extent of player freedom in the history of the series. With more than 400 machines and tools from over 100 authentic agricultural brands, players can look forward to an improved and realistic as ever simulation. Suited for all ages, players dive into even more diverse agriculture, animal husbandry and forestry. Two new maps inspired by US and EU regions plus an updated alpine Erlengrat map emphasize different kinds of farming operations, including three new crops. The addition of seasonal cycles adds new challenges throughout the year, and enhances the atmosphere many times over. Players can now start various production chains to further extend their income whether they produce bread, oil, juice or more. To allow more individualization of farms and characters, the vastly improved customization tools add plentiful new possibilities. Based on the GIANTS Engine 9, Farming Simulator 22 also features many technical improvements such as more realistic AI behavior, richer worlds and a significant performance boost on all systems."
Simulation|Virtual|Career|,"Aug 10, 2021",None,Curve Digital,72,Skyhook Games,Lawn Mowing Simulator,tbd,"Your task is moving and that is what will you do, you can choose from many types of mowers. Relaxing game with few bugs and technical issues but nothing major."
Simulation|Vehicle|Civilian|,"Mar 16, 2021",None,Maximum Games,72,Maximum Games,Monster Truck Championship,4.6,"From Las Vegas to Orlando, go head-to-head against experienced drivers in drag races and freestyle competitions! But before you can pull off doughnuts, wheelies and bicycles, you must first tune your truck to perfection. These machines are colossal and spectacular yet highly technical to"
