genres,metascore,developer,userscore,rating,publisher,title,summary,release_date
Role-Playing|Action RPG|,42,Cyanide,3.9,M,Bigben Interactive,Werewolf: The Apocalypse - Earthblood,"A unique experience full of savage combat and mystical adventures, inspired by the famous role-playing game. You are Cahal, a powerful Garou who chose to go into exile after losing control of his destructive rage. On his quest for redemption and blood, Cahal plays a crucial role in the great","Feb  4, 2021"
Racing|General|Arcade|Automobile|,42,Rainbow Studios,4.3,E,CokeM Interactive,MX vs. ATV Supercross Encore,"<span class=""blurb blurb_collapsed"">There's a chance you'll enjoy this if you're into arcade supercross and don't mind:<br/>- Paying a lot for dozens of separate expansions<br/>-</span>","Oct 27, 2015"
Sports|Team|Rugby|,41,Koch Media,3.6,E,Bigben Interactive,Rugby 18,"Experience the full intensity of the biggest matches with Rugby 18, the most complete rugby game to date. Jump into the roles of the official players from the most prestigious teams and leagues of the 2017-2018 season: Aviva Premiership Rugby, Wales, England, Scotland... Dominate all the game phases using intuitive controls, and enjoy innovative gameplay that faithfully reproduces each situation of the sport. On attack or defence, your teammates take their positions and move to develop the game depending on your decisions. Lead your favourite club to the top in Career mode, replay the biggest leagues and tournaments in League mode, and re-write history in the Match of the Week. Build up your dream team in My Squad mode by selecting your favourite players from all of the game's teams. Play one-on-one against a friend on the same console, or against players from around the world online.","Oct 24, 2017"
Action|Adventure|General|Visual Novel|,41,Beret Applications LLC,4.3,M,Beret Applications LLC,One Way Trip,"In One Way Trip, you and your brother Barry discover that you’ve been poisoned in a mass attack on the water supply that has left a large portion of the nation with only six hours left to live, during which time they will be constantly hallucinating. To put it another way, it’s an atmospheric exploration of what it would be like to find out you and most everyone you love is about to die, and then have to process that while your limbs turn into cartoon dolphins.","Aug 30, 2016"
Action|Shooter|Light Gun|,41,IGGYMOB,4.2,T,XSEED Games,Gungrave VR,"Not the best Gungrave game at all, and not the best VR game either, but still it's one of few games, what makes me happy. Honestly, we've seen","Dec 11, 2018"
Sports|Team|Soccer|Arcade|,41,SFL Interactive,tbd,E,Maximum Games,Street Power Soccer,"(Also known as ""Street Power Football"") Sick style and high-energy action come together in this completely over-the-top football experience. Featuring six distinct game modes from open-ended Freestyle and Trick Shot modes to head-to-head competition in Panna and up to 3v3 matches in Street","Aug 25, 2020"
Adventure|General|3D|First-Person|,41,Creazn,4.4,M,Soedesco,Dollhouse,"This haunting horror game draws you into the mysterious atmosphere of film noir. Delve deep into the mind of Marie, a detective trying to unravel the secrets of her past, memory by memory. Use the ‘Focus’ feature to see through the eyes of your pursuer as you try to survive a suspenseful game of cat and mouse.","May 24, 2019"
Action|General|,40,TVR,4.3,E10+,Oasis Games,Ace Banana,"Ace Banana isn’t a total trainwreck and might be a fun diversion for younger players for a while, but there’s a chance that even they will ultimately come away frustrated.","Oct 13, 2016"
Action|Platformer|3D|,40,Chameleon Games,6.6,E10+,Chameleon Games,Tamarin,"<span class=""blurb blurb_collapsed"">SAVE YOUR FAMILY FROM THE INSECT INVASION<br/><br/>Explore an incredible interconnected 3D world, brimming with primate platforming and bug-splattering shooter action. Leap with the agility of a tamarin as you journey into the Northern wilderness on scenic routes through forests, fjords and</span>","Sep 10, 2020"
Action Adventure|Survival|,40,Funbox Media,1.5,None,Funbox Media,Syndrome,"Syndrome takes the genre back to its terrifying roots as players wake up on a deserted spaceship, dazed and confused from a deep cryosleep only to discover that most of the crew are dead or changed. In the midst of this deeply frightening environment, surrounded by reactive enemies that pick","Oct  6, 2017"
Role-Playing|Action RPG|,39,Ian Atherton,tbd,M,Merge Games,Crimson Keep,"Released to mixed reviews, largely complaining about difficulty and true rogue like experience. This is a major attraction to the game for me, along with the reasonable price.","Mar  5, 2019"
Action Adventure|General|,39,Maximum Games,4.4,T,Maximum Games,Troll and I,"Deep in the Nordic wilderness, a teenage boy named Otto is forced to flee his home after a band of brutal hunters rip through his village in search of a mythical creature rumored to inhabit the forest. Now on the run for his life, Otto inadvertently finds and befriends the elusive creature","Mar 21, 2017"
Action|Shooter|First-Person|Arcade|,39,PlayMagic Ltd,3.4,M,Microids,XIII (Remake),"XIII is a remake of the cult first-person action game that was initially released in 2003. You play as ""XIII"", a man without an identity, in a solo campaign with numerous twists and turns. Inspired by the eponymous graphic novel, the game features a completely reinvented and unique","Nov 10, 2020"
Action|Shooter|Shoot-'Em-Up|Top-Down|,39,High Voltage Software,5.2,M,GameMill Entertainment,Zombieland: Double Tap - Road Trip,SOOO where do i start. first of all it was epic. i mean i was waiting for the sexond part forever. I love this movie so much - i can pretty,"Oct 15, 2019"
Action|Platformer|Platformer|2D|2D|,38,System 3,3.0,E10+,Maximum Games,Putty Squad,"The stretchy blue blob is all set to go digital in high resolution by way of the critically acclaimed Putty Squad videogame. Cited by many gaming publications as one of the best games of its time, Putty Squad follows the story of unlikely hero Putty in an old-skool platform-adventuring quest for his kidnapped friends.","Mar 11, 2014"
Action|Shooter|Third-Person|Tactical|,38,Capcom,2.4,M,Capcom,Umbrella Corps,As a long time RE fan I've been pretty excited to see how this game is. Its gotten a lot of hate from trailers over bad animations and boring,"Jun 21, 2016"
Action|Shooter|First-Person|Arcade|,38,Mastiff,4.3,T,Mastiff,Heavy Fire: Red Shadow,"Despite all negative reviews I must say that I thought this game was very entertaining, perfect for a room full of people, and the perks that you gain during gameplay such as apache helicopter support and air drops make it pure action and explosions. Its not perfect but its not the far from the worst.","Oct 16, 2018"
Adventure|3D|First-Person|,38,Nekcom,5.2,M,Oasis Games,Dying: Reborn,"It’s not super scary, but is pretty atmospheric, but it’s really more of a room escape puzzle game with a horror theme than a horror game, so I was OK with not being scared… but I was glad they didn’t resort to lots of cheap jump scares and stuff to just try and make it scary for no reason.","Feb 28, 2017"
Action|Action Adventure|General|,38,NATSUME ATARI Inc.,3.3,T,Bandai Namco Games,Godzilla,"Developed by Japanese videogame studio NATSUME ATARI, GODZILLA places players in control of one of the most famous and destructive monsters in entertainment history. As Godzilla players will trample and lay waste to cities and environments with the goal of taking out each area’s Energy","Jul 14, 2015"
Action|Platformer|2D|,38,We The Force,2.5,T,We The Force,Randall,"Randall wakes up in a dystopian world in which people are content living under constant surveillance and absolute control. Players take on the part of Randall, a powerful telepath with a touch of schizophrenia. His abilities allow him to control and play as every single character on screen, seamlessly swapping between them, exploiting the power that they have. [Playstation.com]","Jun  6, 2017"
Action Adventure|General|Survival|,37,Madmind Studio,4.6,M,PlayWay,Agony,"Agony has certainly received plenty of hate, most of it unjust if you ask me. Not many people actually focus on what is genuinely good and","May 29, 2018"
Action Adventure|General|,37,Square Enix,8.2,M,Square Enix,Left Alive,"<span class=""blurb blurb_collapsed"">Really challenging, and extremely satisfying game.<br/>Today too often there are very simplified games, to go against the needs of everyone, but</span>","Mar  5, 2019"
Miscellaneous|Trivia / Game Show|,37,The Game Room,3.2,E,The Game Room,That Trivia Game,"Play against the computer or up to 3 of your friends in That Trivia Game! Featuring over 1,000 up-to-date questions to test your knowledge of 20 different categories for hours of fun for the whole family! With 24 character combinations and four challenging rounds per game, That Trivia Game is more exciting each time you play! Available exclusively on the PlayStation4 system. Video output in Full HD 1080p requires 1080p native display.","Apr 15, 2014"
Action|Platformer|2D|,37,Black Forest Games,5.0,E,EuroVideo Medien,Giana Sisters: Dream Runners,Putting the idea of giana sisters platformer into a coop racing-like game is incredible unique. The game misses some single-player content. It is a pure coop racing challenge up to 4 local players which makes a lot of fun to play together.,"Aug 19, 2015"
Role-Playing|Western-Style|,37,Psytec Games Ltd,6.6,T,Psytec Games Ltd,Crystal Rift,"I love Crystal Rift in VR, it's like literally stepping into the dungeon crawler games of my youth in the nineties, but without the cumbersome inventory and combat systems they had. Crystal Rift is easy, not much variation, not scary. No inventory, combat is super simplistic, puzzles are laughable. There's a mystery told through notes you encounter, and these notes are sometimes very funny, but there is no other storytelling, no voices or anything. The comfort settings are good so I could adjust movement so I don't get motion sickness. I play the game for the atmosphere, that's pretty much all it has, but it's totally enough for me. I get to feel childhood wonder every time I step into these dungeons.","Nov 29, 2016"
Action|Miscellaneous|Fighting|Party / Minigame|2D|,37,Dark Screen Games,tbd,E10+,Merge Games,Bounty Battle,"Bounty Battle is the indie fighting game -- a new multiplayer 2D fighting game, where you can square off as your favorite indie hero against other indie heroes from games like Guacamelee!, Darkest Dungeon, Dead Cells, and Psychonauts 2 among other awesome indies. The game features more than 30 character, each with their own companion Minion and unique abilities. It's Super Smash Bros. meets indie games where you battle across levels inspired from indie game worlds with up to 4 players.","Sep 10, 2020"
Action|General|,37,LOOT Entertainment,4.1,E,LOOT Entertainment,Fluster Cluck,"Fluster Cluck is a cartoony, pick-up-and-play twin-stick shooter with resource gathering elements. It has no blood, no gore, no grizzled mercenaries, no princesses who need to be saved, no softcore anime cutscenes, no dialogue trees, and no moral dilemmas. It just has chikkin. Lots and lots of chikkin. [Playstation.com]","Oct 21, 2014"
Action|Action Adventure|General|Survival|,37,Phantom 8,4.7,M,Phantom 8,Past Cure,"Past Cure is a dark psychological thriller that blurs the lines between dreams and reality. An intense, cinematic, story driven experience, blending stealth and combat gameplay. Players are challenged to use an array of skills varying from powerful time bending mental abilities to brutal","Feb 23, 2018"
Action|Beat-'Em-Up|2D|,36,Big Deez Productions,5.5,T,Saber Interactive,Shaq Fu: A Legend Reborn,"Shaq Fu: A Legend Reborn is what the original game should have been an instant classic. We're talking Streets of Rage meets Street Fighter meets Devil May Cry. It's a modern day take on the classic beat 'em up. Play as Shaquille O'Neal learn hundreds of moves and battle techniques, take on","Jun  5, 2018"
Racing|Arcade|Automobile|,36,Milky Tea Studios,4.6,T,Wales Interactive,Coffin Dodgers,"<span class=""blurb blurb_collapsed"">Welcome to a suburban retirement village where all is not as it seems…<br/>After settling down to recover from the responsibilities of working life, the residents of Sunny Pines have been idling away the days, life could not be more tranquil. However, a creepy new resident, Mr Grim Reaper,</span>","May  3, 2016"
Action Adventure|General|,36,Maximum Games,3.8,M,Maximum Games,Alekhine's Gun,"It is the height of the Cold War, a time of global uncertainty and civil unrest. In this stealth shooter you play Agent Alekhine, a highly skilled Russian assassin driven by a moral compass that leads you headfirst into a covert operation unsanctioned by the country you serve. Working alongside American CIA agents, your mission is clear - though how you accomplish it is anything but - as the tension of a nuclear standoff grows with each passing minute. In a world where one wrong move could be the end of you, navigating a new direction comes at a price.","Mar  1, 2016"
Role-Playing|Action RPG|,36,Void Studios,4.4,T,1C Entertainment,Eternity: The Last Unicorn,Old school fantasy action rpg..... Bought cause I liked the trailer and game is what to be expected. My guess is low rated due to no micro transaction and no BR mode!!!! If you love fantasy settings this one's for you .. ...,"Mar  5, 2019"
Action|General|,35,Bandai Namco Games,2.7,T,Bandai Namco Games,One Piece: Grand Cruise,It was an amazing experience to actually be on the ship and see these characters up close. It felt amazing. But that's it... u can't move around freely or basically do anything at all. This game had so much potential but it all just feels like a waste in the end.,"May 22, 2018"
Action Adventure|Linear|Racing|Simulation|Arcade|Automobile|,35,Slightly Mad Studios,1.7,T,Bandai Namco Games,Fast & Furious Crossroads,es un buen juego solo que tiene criticas estupidas. La gente que se ceja por su precio que es 60 dolares aaaa pero el call of duty un juego que vale lo mismo hay nadie le dice nada,"Aug  7, 2020"
Role-Playing|Action RPG|,33,Codemasters,2.7,T,Codemasters,Overlord: Fellowship of Evil,this game looked fun in the beginning becouse i played it alone but later it was beginning to get truely boring . and is a struggle to play with friends with this dumb minions,"Oct 20, 2015"
Action|Action Adventure|General|,33,Maximum Games,4.6,E,Maximum Games,Beast Quest,"Embark on an epic action-adventure to save the Kingdom of Avantia from ruin. Overcome the dark magic that has corrupted the noble Beasts of the realm. Battle in the mythical world, tackling challenges through stunning landscapes and a plethora of side missions and objectives. Unlock new abilities and upgrades to successfully combat varied opponents. Based on the best-selling fantasy novels, Beast Quest comes to console for the first time ever, with a rich, progressive storyline, vibrant settings, and an excess of compelling challenges.","Mar 13, 2018"
Action Adventure|Survival|,33,Brok3nsite,4.1,None,Gammera Nest,Dawn of Fear,"Is it for the PlayStation four ? Or a PlayStation 2 ? Shouldn "" t the game be better ? It has to be offered free . I am highly critical of this game . Developers have to launch a new version of the game . I hope the game will be improved . Thank you.","Feb  3, 2020"
Adventure|General|,32,TianShe Media,2.7,T,Oasis Games,Weeping Doll,"Weeping Doll is completable, but almost all of the game mechanics are working against you to complete it.  If you have the patience, it is possible, but its not a very enjoyable time.  It had a lot of potential, but unfortunately, it doesn't feel like the game was fully finished or made user friendly.","Oct 27, 2016"
Sports|Individual|Skate / Skateboard|,32,Robomodo,1.5,T,Activision,Tony Hawk's Pro Skater 5,it is a great game and it brings you back to the good ol days. any fan of this will be happy. It is a little clunkier than the originals but overall it is a fun game.,"Sep 29, 2015"
Sci-Fi|Action|Action Adventure|Shooter|Survival|First-Person|Arcade|,31,Dean 'Rocket' Hall,2.9,M,Bohemia Interactive,DayZ,A 225 km2 open world post-soviet state and one of the areas hit by a new and presently unknown infection which has wiped out most of the world's population. You are one of the few who have survived and now you must search this new wasteland in order to fight for your life against what is,"May 30, 2019"
Puzzle|Action|,31,Wakefield Interactive,3.2,E,Wakefield Interactive,Where the Bees Make Honey,"<span class=""blurb blurb_collapsed"">Pros: - Great game<br/>- Interesting short story<br/>- Fun level design (I've never seen a game quite like it)

Cons:
-Short game

I really enjoyed</span>","Mar 29, 2019"
Sports|Team|Soccer|Arcade|,31,The Digital Lounge,4.5,E,The Digital Lounge,Dino Dini's Kick Off Revival,"As a fan of the original Kick 1,2 & Goal on the Amiga,  I've been missing my multi-coloured cruiser joystick and hours of Football for years,","Jun 23, 2016"
Action|Shooter|Shoot-'Em-Up|Top-Down|,30,Activision,1.4,E10+,Activision,Ghostbusters,Worst game ever. It costs so much for a game with little replay value. Shame on Activision and also shame on PS and XBOX for allowing such quality to pass through as acceptable,"Jul 12, 2016"
Action|Simulation|Flight|Combat|,30,bitComposer Entertainment AG,1.7,T,Majesco Games,Air Conflicts: Vietnam Ultimate Edition,"<span class=""blurb blurb_collapsed"">Take to the skies above Vietnam and fly for both sides of this explosive conflict.<br/> <br/>All-out aerial warfare

Experience the horrors and heroism of the Vietnam War and prove your worth in aerial dogfights, daring helicopter missions and intense multiplayer battles.

Immerse yourself in</span>","Sep 16, 2014"
Action Adventure|General|Linear|,28,Square Enix,1.8,M,Square Enix,The Quiet Man,This game was amazing. I think people didn’t get the idea..  I like gameplay and graphic. I bought from PSN for 7$ and for this price I think worth every penny.,"Nov  1, 2018"
Simulation|General|,28,Wander,2.3,E,Wander,Wander,"I love to wander around and enjoy the scenery and the breeze that the wind carries around. It is refreshing and calming to my soul and nerves, and give the air a sense of tranquility. Wander without aim, wander without purpose, carefree and relaxed.","Jun  4, 2015"
Action|General|General|Arcade|,27,Bloober Team,2.9,T,Bloober Team,Basement Crawl,"Enter the basement, explore dark, sinister arenas and be at one with the insanity. Bomberman inspired mechanics bring party games to the next generation level. Staying alive won't be easy. The only way to survive is to become death itself, crushing all opponents. Fight with, or against your","Feb 25, 2014"
Simulation|Vehicle|Combat|,26,Maximum Games,2.4,M,Maximum Games,Road Rage,"The game is an open world racer in the vein of the most recent Forza Horizon games, but looks more like a GTA San Andreas clone, albeit one in","Nov 14, 2017"
Action Adventure|Survival|,26,Dead Drop Studios LLC,tbd,None,Dead Drop Studios LLC,Outbreak: The New Nightmare,"Enter an unforgiving survival horror experience as you fight for your life against oppressive odds. The horrors of Arzt Memorial Hospital were just the beginning of the outbreak. As the infection spread across the city, local law enforcement fell quickly. You now find yourself trapped in a","Aug 27, 2020"
Driving|Racing|Simulation|Arcade|Motorcycle|Automobile|Street|,26,Bigben Interactive,2.0,E,Maximum Games,Motorcycle Club,Worst game ever! 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/10,"Jan 20, 2015"
Sports|Team|Rugby|,25,HB Studios Multimedia,2.1,E,Bigben Interactive,Rugby World Cup 2015,"I love rugby and I love the world cup and I love the year 2015 as there are many good games that came out during the year, so 2015 is a good year for gaming. Thus, the game must be perfect and worthy of 10/10, GOTY.","Sep  4, 2015"
Action Adventure|General|,23,Recotechnology S.L.,1.7,E10+,Recotechnology S.L.,Yasai Ninja,"Yasai is such a creative japanese name that gives me boats of laughter and joy. I love being a ninja as I can dodge and assassinate my enemies without being seen and this game can escape the clutches of my competitors. So, when I throw the game outside the window, and it hit someone and that person die, no one would be find who throw it and what was thrown because I am a ninja in the making.","Jul 21, 2015"
Driving|Racing|Arcade|Futuristic|,22,Happion Laboratories,4.9,E,Happion Laboratories,Energy Hook,"I love energy in my video games as it shows the drive and passion that the developers have for the game, and the game shows abundance of it. And, it has the hook that keeps me coming back for more.","Jul  5, 2016"
Action|Beat-'Em-Up|2D|,21,Magic Pockets,1.5,E10+,GameMill Entertainment,Cartoon Network: Battle Crashers,"When Uncle Grandpa accidentally drives the UG-RV through multiple dimensions, he picks up some surprise passengers in the form of Gumball, Steven Universe, Finn, Mordecai and Clarence. Now they'll have to band together to defeat the evil shard creatures and set things right. Use each character's unique attacks and special moves to conquer the elements, fight your way through all the levels and beat some brutal boss battles. Replay maps with special modifiers to switch up the fun, and unlock bonus rooms along the way. Take on the single-player challenge or grab up to 3 friends for multiplayer action in this crazy interdimensional adventure. ","Nov  8, 2016"
Action|Beat-'Em-Up|2D|3D|,21,Versus Evil,2.9,M,Versus Evil,Afro Samurai 2: Revenge of Kuma Volume One,"Afro Samurai 2 is a technical mess of hot garbage. It can't get anything right. Poor voice acting, controls, graphics. It is the Big Rigs of PS4 and shouldnt be bought or rented.","Sep 22, 2015"
Alternative|Sports|Team|Rugby|,19,HB Studios Multimedia,3.5,E,Maximum Games,Rugby 15,"I really like this game, and I feel you will too, the game play is amazing, along with the tackles. But overall I think you would really enjoy this game, maybe your brother, or even your sister. 10/10","Feb 24, 2015"
Action|Shooter|First-Person|Arcade|,15,Cooply Solutions,2.3,T,Cooply Solutions,Orc Slayer,ORC SLAYER is terrible. The graphics is like PS2 era game and that's being generous. The gameplay is so choppy and the hit detection is off the charts. There is no thought put into this game and the only reason why people buy it is for the trophies.,"Jul 19, 2016"
Role-Playing|Action RPG|,51,Naps Team,5.6,None,Naps Team,Baldo: The Guardian Owls,"<span class=""blurb blurb_collapsed"">A profecy came true, a pure heart child is born . The no heart creature sealed in the underworld by the wise owls is about to rise again.<br/> <br/>A journey into a magical land full of mysteries to discover.

Baldo is an action adventure rpg, full of puzzles and intricate dungeons to solve.</span>","Aug 27, 2021"
Racing|Arcade|Automobile|,51,Stainless Games,5.7,M,Stainless Games,Carmageddon: Max Damage,"Tiene detalles a mejorar, pero la experiencia de juego se ha logrado como en el primer titulo de Carmageddon. Me ha gustado mucho revivir algunas de las sensaciones que vivi en aquella epoca. Me parece un buen trabajo.","Jul  5, 2016"
Action Adventure|General|,51,"Frozenbyte, Inc.",5.9,M,"Frozenbyte, Inc.",Shadwen,"Shadwen is a true GEM and a bargain to boot.  In today's gaming industry you can often feel cheated in the sense of a lack of value for the cost of the game; especially in todays ever expanding world of DLC.  That is not the case here as Shadwen is an absolute value and overall well polished game.  Its a stealth game with the twist of deciding to kill those in your way or let them live and avoid conflict.  It's honestly done very well and I've found the game to be really entertaining.  The time element is very cool as its based on your movement or lack of movement as to whether time is moving.  My one complaint would be that the environments can begin to blend together and look very similar and things can feel somewhat repetitive.  At this price point though these are easy concessions to accept and feel hardly worth mentioning.  If you are a gamer on a budget or just craving a game of stealth, then Shadwen is for you!","May 17, 2016"
Simulation|Space|Combat|,51,34BigThings,tbd,E10+,34BigThings,Redout: Space Assault,"Welp, if you're a huge Starfox 64 fan you could spend $10 and an afternoon in worse ways.  But even as a budget title, this game will have most scratching their heads with some perplexingly bad elements and more than one crises of identity.  The game can't decide if it wants to be on-rails or free-flying.  The game can't decide if it had tight, satisfying controls or loose, unresponsive ones.  The game can't decide if it has several repetitive missions or complex missions.  Problems like this hold the game back throughout, so that soon after the initial promise wears off it becomes a bit of a slog to complete.  Probably still worth the time and money if you're forgiving.","Jan 22, 2021"
Sports|Individual|Ski / Snowboard|,50,HB Studios Multimedia,7.3,T,Maximum Games,Mark McMorris Infinite Air,"<span class=""blurb blurb_collapsed"">Base on 80 hours :<br/>Infinite AIr is the most authentic snowboarding game ever made. Learning curve is massive, animations are impressive,</span>","Oct 25, 2016"
Action Adventure|Linear|,50,Exploding Tuba Studios,tbd,T,Exploding Tuba Studios,Divide,None,"Jan 31, 2017"
Sports|Individual|Tennis|,50,Big Ant Studios,6.0,E,Big Ant Studios,AO International Tennis,"Forget what the reviews say,  if you're a tennis fan,  you'll love A0 International Tennis.   Good gameplay animations and players, and you can make your own players too!","May  8, 2018"
Action|Shooter|First-Person|Arcade|,50,MachineGames,3.8,M,Bethesda Softworks,Wolfenstein: Cyberpilot,"Played through the ""Panzerhund"" and the drone, and so far I really like it, and the 3drudder is supported, even if this not announced","Jul 26, 2019"
Role-Playing|General|,50,Sushee,5.8,M,Square Enix,Fear Effect Sedna,"Be part of a new Fear Effect adventure with Fear Effect Sedna, a new game in the classic series made popular on the original PlayStation console. With a whole new story, and shifting to a pausable real-time tactical action style, players will be able to control the team strategically and","Mar  6, 2018"
Action|Strategy|Real-Time|General|Defense|,50,Ilusis Interactive Graphics,6.4,E10+,Ilusis Interactive Graphics,Krinkle Krusher,"Krinkle Krusher is an action castle defense in which you cast elemental spells to defend your kingdom from the twisted and hungry creatures called Krinkles. After several generations of peace, they happen to come back exactly when the Ancient Tree bears its first fruits in centuries and of course a cake was made from it.","Apr  7, 2015"
Role-Playing|Western-Style|,50,Bethesda Game Studios,3.6,M,Bethesda Softworks,Fallout 4: Wasteland Workshop,"With the Wasteland Workshop, design and set cages to capture live creatures – from raiders to Deathclaws! Tame them or have them face off in battle, even against your fellow settlers. The Wasteland Workshop also includes a suite of new design options for your settlements like nixie tube lighting, letter kits, taxidermy and more!","Apr 12, 2016"
Action Adventure|General|,50,Truant Pixel,5.6,E,Truant Pixel,VEV: Viva Ex Vivo,"Viva Ex Vivo is a game by Truant Pixel which features a unique mix of non-traditional arcade, simulation, and survival gameplay intended for all audiences. Players assume control of the ""Virtual Eukaryote Visualizer,"" or VEV: a remote-controlled nanoscale artificial organism capable of surviving in a multitude of familiar and foreign microscopic environments.","May 17, 2016"
Adventure|Point-and-Click|,50,Pencil Test Studios,6.2,E10+,Versus Evil,Armikrog,"The clay animation, beautiful soundtracks, interesting atmosphere and intriguing soundtracks worth playing this game. The game-play is short; however some of its puzzles are really challenging.","Aug 23, 2016"
Action|General|,50,Digital Pictures,4.8,T,Limited Run Games,Night Trap: 25th Anniversary Edition,"As an official member of S.C.A.T. (Sega Control Attack Team) your mission's a time-bomb. Five beautiful co-eds are being stalked in an eerie estate. Hooded intruders are invading the mansion with blood on their minds. Watch the murderous action from hidden cameras in 8 different rooms. Catch the intruders as they track their victims. Miss your chance and the co-eds are gone forever. Night Trap is an interactive horror movie spoof that uses full-motion video to tell a story about a group of girls having a slumber party and becoming the targets of vampire villains. Players set traps in an effort to capture the vampires and save the girls from having their blood sucked. Among other obstacles the player must know when to activate traps, have the correct color codes for the traps to work properly and accumulate knowledge of the rapidly unfolding story.","Aug 15, 2017"
Action|Platformer|2D|,50,Lukas Navratil,tbd,E10+,Headup Games,Toby: The Secret Mine,"Get lost in the shadows and pray you find your way out... A peaceful way of life in a small village in the mountains was thrown into disorder. Someone has kidnapped most of its residents. A couple of brave hearts tried to rescue their friends but none of them has returned. Little Toby didn't want to just sit and wait so he decided to find them by himself. He went to the near deep forest but he soon realized this is just a beginning. Go with Toby on an eerie adventure in a dark and creepy world full of dangerous situations, enemies and challenging puzzles.","Jul  6, 2017"
